Cemment,Slag,Fly_ash,Water,SP,Coarse_Aggr,Fine_Aggr,FLOW_cm,Compressive_Strength
273.0,82.0,105.0,210.0,9.0,904.0,680.0,62.0,34.99
258.8,88.0,239.6,175.3,7.6,938.9,646.0,20.0,50.5
296.0,97.0,0.0,219.0,9.0,932.0,685.0,48.5,29.23
152.0,0.0,237.0,204.0,6.0,785.0,892.0,51.0,32.71
322.0,116.0,0.0,196.0,10.0,818.0,813.0,67.0,29.77
305.0,100.0,0.0,196.0,10.0,959.0,705.0,49.0,29.77
313.0,124.0,0.0,205.0,11.0,846.0,758.0,49.0,29.63
142.0,130.0,167.0,174.0,11.0,883.0,785.0,20.0,36.72
184.3,153.4,239.2,179.0,7.5,920.2,640.9,20.0,41.01
321.0,0.0,164.0,190.0,5.0,870.0,774.0,60.0,45.82
160.0,146.0,188.0,203.0,11.0,829.0,710.0,38.0,33.51
356.0,142.0,0.0,193.0,11.0,801.0,778.0,30.0,36.46
298.0,107.0,0.0,186.0,6.0,879.0,815.0,20.0,30.97
261.0,78.0,100.0,201.0,9.0,864.0,761.0,63.5,34.18
166.0,0.0,260.0,183.0,13.0,859.0,827.0,54.0,40.34
159.0,116.0,149.0,175.0,15.0,953.0,720.0,54.5,34.05
143.3,91.8,239.8,200.8,6.2,964.8,647.1,55.0,27.09
154.0,141.0,181.0,234.0,11.0,797.0,683.0,65.0,33.51
140.0,128.0,164.0,183.0,12.0,871.0,775.0,53.0,33.38
142.0,130.0,167.0,215.0,6.0,735.0,836.0,67.0,31.37
248.3,101.0,239.1,168.9,7.7,954.2,640.6,20.0,49.97
140.1,4.2,215.9,193.9,4.7,1049.5,710.1,57.0,26.42
159.0,0.0,187.0,176.0,11.0,990.0,789.0,39.0,32.57
309.0,0.0,142.0,218.0,10.0,912.0,680.0,62.0,38.59
320.0,0.0,163.0,188.0,9.0,866.0,776.0,60.0,45.69
163.0,149.0,191.0,180.0,12.0,843.0,746.0,20.0,41.14
162.0,148.0,190.0,179.0,19.0,838.0,741.0,21.5,42.08
152.0,139.0,178.0,168.0,18.0,944.0,695.0,20.0,38.86
310.0,0.0,143.0,168.0,10.0,914.0,804.0,48.2,49.3
295.0,106.0,136.0,208.0,6.0,871.0,650.0,70.0,39.4
318.0,126.0,0.0,210.0,6.0,861.0,737.0,48.0,31.77
140.0,128.0,164.0,237.0,6.0,869.0,656.0,65.0,29.5
288.0,0.0,121.0,177.0,7.0,908.0,829.0,48.5,39.93
299.0,107.0,0.0,210.0,10.0,881.0,745.0,63.0,28.29
294.0,106.0,136.0,207.0,6.0,747.0,778.0,47.0,41.27
146.0,106.0,137.0,209.0,6.0,875.0,765.0,67.0,27.89
149.0,109.0,139.0,193.0,6.0,892.0,780.0,58.5,28.7
140.0,1.4,198.1,174.9,4.4,1049.9,780.5,31.0,30.83
160.2,0.3,240.0,233.5,9.2,781.0,841.1,75.0,36.19
140.2,44.8,234.9,171.3,5.5,1047.6,704.0,52.5,33.78
140.5,61.1,238.9,182.5,5.7,1017.7,681.4,60.0,30.97
150.3,111.4,238.8,167.3,6.5,999.5,670.5,36.5,38.19
155.4,122.1,240.0,179.9,6.7,966.8,652.5,41.5,35.52
303.8,0.2,239.8,236.4,8.3,780.1,715.3,78.0,44.48
215.6,112.9,239.0,198.7,7.4,884.0,649.1,64.0,39.13
348.7,0.1,223.1,208.5,9.6,786.2,758.1,78.0,48.77
