Cemment,Slag,Fly_ash,Water,SP,Coarse_Aggr,Fine_Aggr,FLOW_cm,Compressive_Strength
298.0,107.0,0.0,186.0,6.0,879.0,815.0,20.0,30.97
140.1,11.8,226.1,207.8,4.9,1020.9,683.8,64.0,26.28
336.0,134.0,0.0,222.0,6.0,756.0,787.0,64.0,31.9
274.0,89.0,115.0,202.0,9.0,759.0,827.0,68.0,35.52
342.0,136.0,0.0,225.0,11.0,770.0,747.0,61.0,32.04
308.0,111.0,142.0,217.0,10.0,783.0,686.0,70.0,42.08
163.0,149.0,191.0,180.0,12.0,843.0,746.0,20.0,41.14
297.1,40.9,239.9,194.0,7.5,908.9,651.8,67.0,49.17
148.0,180.0,0.0,183.0,11.0,972.0,757.0,20.0,18.52
152.0,0.0,237.0,204.0,6.0,785.0,892.0,51.0,32.71
140.2,30.5,239.0,169.4,5.3,1028.4,742.7,46.0,36.32
142.0,130.0,167.0,174.0,11.0,883.0,785.0,20.0,36.72
313.0,112.0,0.0,220.0,10.0,794.0,789.0,58.0,28.16
314.0,0.0,161.0,207.0,6.0,851.0,757.0,64.0,41.14
295.3,0.0,239.9,236.2,8.3,780.3,722.9,77.0,44.08
252.0,76.0,97.0,194.0,8.0,835.0,821.0,54.0,33.11
307.0,110.0,0.0,189.0,10.0,904.0,765.0,40.0,31.5
160.0,0.0,250.0,168.0,12.0,1049.0,688.0,48.0,37.66
143.0,131.0,168.0,217.0,6.0,891.0,672.0,69.0,26.42
140.5,61.1,238.9,182.5,5.7,1017.7,681.4,60.0,30.97
140.0,1.4,198.1,174.9,4.4,1049.9,780.5,31.0,30.83
296.0,97.0,0.0,219.0,9.0,932.0,685.0,48.5,29.23
155.4,122.1,240.0,179.9,6.7,966.8,652.5,41.5,35.52
322.0,0.0,149.0,186.0,8.0,951.0,709.0,61.5,45.42
321.0,0.0,164.0,190.0,5.0,870.0,774.0,60.0,45.82
374.0,0.0,0.0,190.0,7.0,1013.0,730.0,42.5,32.44
248.0,101.0,239.9,169.1,7.7,949.9,644.1,20.0,50.23
194.3,0.3,240.0,234.2,8.9,780.6,811.3,78.0,38.46
140.2,44.8,234.9,171.3,5.5,1047.6,704.0,52.5,33.78
166.0,0.0,260.0,183.0,13.0,859.0,827.0,54.0,40.34
265.0,86.0,111.0,195.0,6.0,833.0,790.0,60.0,37.39
273.0,82.0,105.0,210.0,9.0,904.0,680.0,62.0,34.99
154.0,112.0,144.0,220.0,10.0,923.0,658.0,64.0,26.82
147.0,89.0,115.0,202.0,9.0,860.0,829.0,55.0,25.21
145.0,106.0,136.0,208.0,10.0,751.0,883.0,61.0,26.02
148.0,109.0,139.0,193.0,7.0,768.0,902.0,58.0,28.03
159.0,116.0,149.0,175.0,15.0,953.0,720.0,54.5,34.05
295.0,106.0,136.0,206.0,11.0,750.0,766.0,68.5,41.01
146.0,178.0,0.0,192.0,11.0,961.0,749.0,46.0,17.19
298.0,107.0,137.0,201.0,6.0,878.0,655.0,26.0,41.27
137.0,167.0,214.0,226.0,6.0,708.0,757.0,70.0,34.45
275.0,99.0,127.0,184.0,13.0,810.0,790.0,64.5,43.54
158.0,0.0,246.0,174.0,7.0,1035.0,706.0,43.0,34.99
145.0,177.0,227.0,209.0,11.0,752.0,715.0,20.0,35.66
154.0,141.0,181.0,234.0,11.0,797.0,683.0,65.0,33.51
160.0,146.0,188.0,203.0,11.0,829.0,710.0,38.0,33.51
320.0,0.0,163.0,188.0,9.0,866.0,776.0,60.0,45.69
356.0,142.0,0.0,193.0,11.0,801.0,778.0,30.0,36.46
309.0,0.0,142.0,218.0,10.0,912.0,680.0,62.0,38.59
159.0,193.0,0.0,208.0,12.0,821.0,818.0,50.0,19.19
291.0,104.0,0.0,231.0,9.0,857.0,725.0,69.0,30.43
172.8,158.3,239.5,166.4,7.4,952.6,644.1,20.0,41.81
