ASM_A_MeanT,ASD_A_SDevT,BSM_B_MeanT,BSD_B_SDevT,CSM_C_MeanT,CSD_C_SDevT,ISM_I_MeanT,ISD_I_SDevT,ALM_A_MeanT,ALD_A_SDevT,BLM_B_MeanT,BLD_B_SDevT,CLM_C_MeanT,CLD_C_SDevT,ILM_I_MeanT,ILD_I_SDevT
0.568965517,0.025641026,0.990909091,0.0,0.03,0.026315789,0.914285714,0.012987013,0.628571429,0.0,0.988505747,0.0,0.026666667,0.054054054,0.941860465,0.065934066
0.379310345,0.102564103,0.436363636,0.244444444,0.67,0.289473684,0.5,0.220779221,0.542857143,0.48,0.528735632,0.574468085,0.68,0.648648649,0.680232558,0.527472527
0.879310345,0.051282051,0.918181818,0.022222222,0.02,0.0,0.519047619,0.116883117,0.914285714,0.56,0.931034483,0.14893617,0.0,0.027027027,0.761627907,0.406593407
0.482758621,0.256410256,0.5,0.377777778,0.46,0.368421053,0.480952381,0.441558442,0.285714286,0.48,0.183908046,0.404255319,0.813333333,0.567567568,0.180232558,0.417582418
0.25862069,0.179487179,0.490909091,0.622222222,0.48,0.605263158,0.271428571,0.467532468,0.314285714,0.4,0.264367816,0.468085106,0.72,0.513513514,0.261627907,0.384615385
0.75862069,0.230769231,0.954545455,0.088888889,0.02,0.0,0.723809524,0.376623377,0.8,0.6,0.91954023,0.212765957,0.026666667,0.162162162,0.773255814,0.428571429
0.586206897,0.051282051,0.990909091,0.0,0.15,0.210526316,0.933333333,0.116883117,0.885714286,0.84,0.954022989,0.212765957,0.226666667,0.540540541,0.947674419,0.142857143
0.25862069,0.230769231,0.309090909,0.377777778,0.7,0.421052632,0.1,0.415584416,0.4,0.44,0.551724138,0.85106383,0.493333333,0.972972973,0.598837209,0.934065934
0.775862069,0.282051282,0.954545455,0.066666667,0.02,0.0,0.676190476,0.207792208,0.828571429,0.4,0.954022989,0.085106383,0.013333333,0.108108108,0.75,0.153846154
0.224137931,0.333333333,0.309090909,0.622222222,0.74,0.657894737,0.295238095,1.0,0.457142857,0.4,0.770114943,0.744680851,0.253333333,0.891891892,0.715116279,0.67032967
0.551724138,0.025641026,1.0,0.0,0.02,0.0,0.914285714,0.077922078,0.628571429,0.04,0.988505747,0.085106383,0.013333333,0.108108108,0.901162791,0.153846154
0.172413793,0.102564103,0.263636364,0.288888889,0.73,0.394736842,0.076190476,0.038961039,0.0,0.56,0.0,0.340425532,0.733333333,0.972972973,0.0,0.395604396
0.155172414,0.153846154,0.1,0.177777778,0.93,0.289473684,0.347619048,0.675324675,0.4,0.4,0.459770115,0.85106383,0.76,0.810810811,0.686046512,0.538461538
0.534482759,0.025641026,1.0,0.022222222,0.02,0.026315789,0.923809524,0.090909091,0.571428571,0.0,1.0,0.021276596,0.013333333,0.081081081,0.930232558,0.076923077
0.551724138,0.025641026,1.0,0.0,0.02,0.0,0.871428571,0.064935065,0.6,0.0,0.988505747,0.085106383,0.013333333,0.108108108,0.906976744,0.098901099
0.293103448,0.256410256,0.318181818,0.466666667,0.68,0.473684211,0.295238095,0.714285714,0.4,0.4,0.344827586,0.574468085,0.84,0.540540541,0.546511628,0.648351648
0.155172414,0.461538462,0.109090909,0.555555556,0.89,0.631578947,0.261904762,0.935064935,0.514285714,0.6,0.609195402,0.893617021,0.573333333,0.891891892,0.773255814,0.758241758
0.827586207,0.487179487,0.9,0.133333333,0.1,0.289473684,0.676190476,0.480519481,0.828571429,0.44,0.954022989,0.106382979,0.053333333,0.189189189,0.802325581,0.274725275
0.25862069,0.256410256,0.172727273,0.266666667,0.82,0.210526316,0.1,0.155844156,0.2,0.28,0.16091954,0.425531915,0.92,0.351351351,0.23255814,0.549450549
0.775862069,0.743589744,0.636363636,0.622222222,0.43,0.605263158,0.619047619,0.441558442,0.371428571,0.8,0.344827586,0.680851064,0.773333333,0.675675676,0.465116279,0.582417582
0.327586207,0.179487179,0.372727273,0.422222222,0.7,0.368421053,0.461904762,0.441558442,0.4,0.44,0.356321839,0.638297872,0.853333333,0.567567568,0.569767442,0.571428571
0.551724138,0.051282051,0.990909091,0.0,0.02,0.0,0.828571429,0.077922078,0.657142857,0.08,0.988505747,0.021276596,0.0,0.0,0.813953488,0.120879121
0.775862069,0.743589744,0.636363636,0.622222222,0.43,0.605263158,0.619047619,0.441558442,0.371428571,0.8,0.344827586,0.680851064,0.773333333,0.675675676,0.465116279,0.582417582
0.534482759,0.025641026,0.990909091,0.0,0.04,0.052631579,0.933333333,0.025974026,0.6,0.0,0.988505747,0.021276596,0.013333333,0.081081081,0.901162791,0.153846154
0.586206897,0.025641026,1.0,0.0,0.02,0.0,0.852380952,0.064935065,0.657142857,0.04,0.977011494,0.106382979,0.08,0.243243243,0.912790698,0.175824176
0.586206897,0.025641026,0.990909091,0.0,0.05,0.184210526,0.752380952,0.454545455,0.771428571,0.4,0.942528736,0.170212766,0.053333333,0.216216216,0.784883721,0.362637363
0.465517241,0.102564103,0.518181818,0.577777778,0.62,0.552631579,0.752380952,0.545454545,0.342857143,0.2,0.333333333,0.382978723,0.826666667,0.405405405,0.488372093,0.395604396
0.310344828,0.128205128,0.518181818,0.666666667,0.57,0.631578947,0.438095238,0.350649351,0.228571429,0.32,0.287356322,0.659574468,0.826666667,0.621621622,0.505813953,0.571428571
0.672413793,0.153846154,0.981818182,0.022222222,0.03,0.026315789,0.771428571,0.077922078,0.685714286,0.16,0.977011494,0.063829787,0.0,0.027027027,0.790697674,0.197802198
0.620689655,0.179487179,0.972727273,0.044444444,0.01,0.0,0.719047619,0.155844156,0.8,0.28,0.954022989,0.085106383,0.013333333,0.108108108,0.73255814,0.252747253
0.534482759,0.461538462,0.354545455,0.577777778,0.59,0.842105263,0.633333333,0.558441558,0.714285714,0.48,0.356321839,0.808510638,0.88,0.810810811,0.86627907,0.417582418
0.724137931,0.102564103,0.972727273,0.044444444,0.56,0.421052632,0.966666667,0.025974026,0.914285714,0.24,0.885057471,0.255319149,0.76,0.459459459,1.0,0.131868132
0.431034483,0.230769231,0.418181818,0.355555556,0.62,0.578947368,0.557142857,0.467532468,0.6,0.4,0.528735632,0.659574468,0.653333333,0.891891892,0.761627907,0.362637363
0.24137931,0.205128205,0.427272727,0.688888889,0.58,0.789473684,0.219047619,0.311688312,0.628571429,0.92,0.505747126,0.70212766,0.813333333,0.675675676,0.598837209,0.835164835
0.551724138,0.0,0.990909091,0.0,0.05,0.052631579,0.923809524,0.012987013,0.485714286,0.36,0.609195402,0.680851064,0.493333333,0.864864865,0.703488372,0.505494505
0.672413793,0.205128205,0.972727273,0.066666667,0.08,0.210526316,0.70952381,0.571428571,1.0,0.52,0.91954023,0.14893617,0.026666667,0.135135135,0.651162791,0.373626374
0.034482759,0.128205128,0.154545455,0.266666667,0.92,0.236842105,0.171428571,0.584415584,0.114285714,0.36,0.183908046,0.617021277,0.96,0.594594595,0.319767442,0.615384615
0.0,0.051282051,0.0,0.044444444,1.0,0.052631579,0.0,0.077922078,0.342857143,0.72,0.356321839,1.0,0.76,1.0,0.569767442,1.0
0.551724138,0.0,1.0,0.0,0.02,0.026315789,0.90952381,0.025974026,0.6,0.04,0.977011494,0.085106383,0.04,0.216216216,0.901162791,0.175824176
0.689655172,0.384615385,0.918181818,0.266666667,0.2,0.473684211,0.904761905,0.181818182,0.657142857,0.32,0.885057471,0.29787234,0.32,0.648648649,0.959302326,0.098901099
0.862068966,0.128205128,0.927272727,0.044444444,0.02,0.0,0.566666667,0.246753247,0.885714286,0.56,0.91954023,0.191489362,0.026666667,0.162162162,0.761627907,0.428571429
0.586206897,0.128205128,0.563636364,0.688888889,0.6,0.447368421,0.847619048,0.337662338,0.771428571,0.36,0.471264368,0.85106383,0.906666667,0.702702703,0.941860465,0.296703297
0.172413793,0.102564103,0.263636364,0.288888889,0.73,0.394736842,0.076190476,0.038961039,0.0,0.56,0.0,0.340425532,0.733333333,0.972972973,0.0,0.395604396
0.603448276,0.025641026,0.990909091,0.0,0.17,0.184210526,0.885714286,0.077922078,0.571428571,0.28,0.804597701,0.489361702,0.373333333,0.648648649,0.715116279,0.450549451
0.637931034,0.076923077,0.863636364,0.377777778,0.5,0.736842105,0.952380952,0.207792208,0.171428571,0.52,0.275862069,0.829787234,0.893333333,0.72972973,0.313953488,0.813186813
0.568965517,0.282051282,0.490909091,0.422222222,0.44,0.289473684,0.476190476,0.441558442,0.342857143,0.52,0.172413793,0.404255319,0.8,0.540540541,0.197674419,0.406593407
0.482758621,0.384615385,0.554545455,0.777777778,0.59,0.578947368,0.6,0.454545455,0.257142857,0.44,0.32183908,0.70212766,0.826666667,0.621621622,0.476744186,0.604395604
0.482758621,0.384615385,0.554545455,0.777777778,0.59,0.578947368,0.6,0.454545455,0.257142857,0.44,0.32183908,0.70212766,0.826666667,0.621621622,0.476744186,0.604395604
0.396551724,0.307692308,0.318181818,0.4,0.7,0.368421053,0.30952381,0.467532468,0.257142857,0.44,0.287356322,0.744680851,0.826666667,0.72972973,0.36627907,0.659340659
0.551724138,0.025641026,0.990909091,0.0,0.02,0.0,0.871428571,0.090909091,0.571428571,0.16,0.816091954,0.617021277,0.213333333,0.783783784,0.808139535,0.384615385
0.551724138,0.025641026,0.990909091,0.0,0.03,0.026315789,0.947619048,0.051948052,0.571428571,0.0,0.988505747,0.021276596,0.0,0.027027027,0.959302326,0.021978022
0.913793103,0.076923077,0.9,0.066666667,0.02,0.0,0.49047619,0.12987013,0.942857143,0.52,0.91954023,0.14893617,0.0,0.027027027,0.73255814,0.417582418
0.620689655,0.128205128,0.972727273,0.044444444,0.16,0.526315789,0.771428571,0.363636364,0.714285714,0.24,0.954022989,0.106382979,0.186666667,0.405405405,0.912790698,0.241758242
1.0,1.0,0.836363636,0.355555556,0.32,0.131578947,0.766666667,0.623376623,0.742857143,1.0,0.689655172,0.680851064,0.44,0.72972973,0.697674419,0.604395604
0.844827586,0.179487179,0.918181818,0.088888889,0.02,0.0,0.480952381,0.090909091,0.971428571,0.52,0.91954023,0.14893617,0.0,0.027027027,0.703488372,0.406593407
0.224137931,0.179487179,0.209090909,0.377777778,0.8,0.210526316,0.161904762,0.402597403,0.457142857,0.44,0.344827586,0.744680851,0.946666667,0.594594595,0.587209302,0.846153846
0.25862069,0.256410256,0.3,0.8,0.72,0.921052632,0.347619048,0.688311688,0.4,0.44,0.471264368,0.872340426,0.693333333,0.945945946,0.63372093,0.714285714
0.482758621,0.179487179,0.581818182,0.355555556,0.61,0.184210526,0.666666667,0.454545455,0.457142857,0.2,0.425287356,0.531914894,0.72,0.432432432,0.61627907,0.472527473
0.775862069,0.358974359,0.654545455,0.577777778,0.48,1.0,0.876190476,0.675324675,0.771428571,0.76,0.505747126,0.595744681,0.826666667,0.72972973,0.73255814,0.659340659
0.568965517,0.0,0.990909091,0.0,0.03,0.026315789,0.914285714,0.051948052,0.6,0.28,0.804597701,0.468085106,0.28,0.621621622,0.779069767,0.472527473
0.224137931,0.102564103,0.218181818,0.155555556,0.83,0.105263158,0.133333333,0.25974026,0.285714286,0.44,0.390804598,0.914893617,0.693333333,0.945945946,0.424418605,0.945054945
0.586206897,0.025641026,1.0,0.0,0.02,0.0,0.871428571,0.025974026,0.657142857,0.04,1.0,0.0,0.013333333,0.108108108,0.906976744,0.065934066
0.775862069,0.358974359,0.654545455,0.577777778,0.48,1.0,0.876190476,0.675324675,0.771428571,0.76,0.505747126,0.595744681,0.826666667,0.72972973,0.73255814,0.659340659
0.482758621,0.076923077,0.663636364,0.555555556,0.52,0.447368421,0.661904762,0.532467532,0.428571429,0.12,0.436781609,0.574468085,0.786666667,0.594594595,0.593023256,0.307692308
0.586206897,0.102564103,0.981818182,0.044444444,0.02,0.0,0.79047619,0.25974026,0.828571429,0.44,0.954022989,0.127659574,0.093333333,0.378378378,0.796511628,0.252747253
0.293103448,0.153846154,0.345454545,0.666666667,0.69,0.473684211,0.295238095,0.623376623,0.257142857,0.36,0.448275862,0.914893617,0.586666667,1.0,0.459302326,0.802197802
0.896551724,0.282051282,0.890909091,0.088888889,0.01,0.0,0.485714286,0.12987013,0.857142857,0.72,0.735632184,0.553191489,0.253333333,0.783783784,0.61627907,0.318681319
0.137931034,0.102564103,0.172727273,0.266666667,0.85,0.236842105,0.242857143,0.519480519,0.314285714,0.4,0.24137931,0.574468085,0.826666667,0.594594595,0.436046512,0.527472527
0.413793103,0.256410256,0.563636364,0.355555556,0.55,0.394736842,0.352380952,0.311688312,0.6,0.48,0.609195402,0.70212766,0.693333333,0.702702703,0.691860465,0.626373626
0.517241379,0.230769231,0.463636364,0.288888889,0.71,0.368421053,0.738095238,0.493506494,0.657142857,0.2,0.804597701,0.531914894,0.386666667,0.675675676,0.901162791,0.263736264
0.224137931,0.102564103,0.263636364,0.355555556,0.76,0.342105263,0.071428571,0.181818182,0.371428571,0.44,0.494252874,0.936170213,0.6,0.945945946,0.511627907,0.967032967
0.551724138,0.025641026,1.0,0.0,0.05,0.052631579,0.957142857,0.025974026,0.6,0.0,0.988505747,0.021276596,0.013333333,0.054054054,0.965116279,0.032967033
0.396551724,0.205128205,0.618181818,0.755555556,0.52,0.789473684,0.552380952,0.818181818,0.514285714,0.2,0.873563218,0.531914894,0.186666667,0.702702703,0.860465116,0.472527473
0.655172414,0.179487179,0.963636364,0.111111111,0.12,0.184210526,0.752380952,0.532467532,0.828571429,0.36,0.965517241,0.106382979,0.226666667,0.351351351,0.872093023,0.340659341
0.448275862,0.153846154,0.645454545,0.311111111,0.51,0.421052632,0.704761905,0.272727273,0.542857143,0.12,0.873563218,0.382978723,0.173333333,0.594594595,0.837209302,0.208791209
0.689655172,0.230769231,0.781818182,0.311111111,0.18,0.473684211,0.728571429,0.454545455,0.657142857,0.4,0.551724138,0.489361702,0.44,0.621621622,0.575581395,0.406593407
0.396551724,0.153846154,0.645454545,0.488888889,0.48,0.473684211,0.457142857,0.506493506,0.457142857,0.48,0.425287356,0.553191489,0.693333333,0.567567568,0.581395349,0.604395604
0.482758621,0.128205128,0.490909091,0.2,0.66,0.368421053,0.871428571,0.142857143,0.514285714,0.48,0.436781609,0.553191489,0.706666667,0.675675676,0.703488372,0.483516484
0.534482759,0.153846154,0.563636364,0.466666667,0.5,0.236842105,0.595238095,0.597402597,0.514285714,0.36,0.517241379,0.829787234,0.706666667,0.702702703,0.645348837,0.758241758
0.775862069,0.743589744,0.636363636,0.622222222,0.43,0.605263158,0.619047619,0.441558442,0.371428571,0.8,0.344827586,0.680851064,0.773333333,0.675675676,0.465116279,0.582417582
0.534482759,0.0,0.990909091,0.0,0.05,0.078947368,0.938095238,0.025974026,0.485714286,0.32,0.632183908,0.765957447,0.48,0.891891892,0.703488372,0.681318681
0.586206897,0.051282051,0.990909091,0.0,0.21,0.131578947,0.938095238,0.051948052,0.685714286,0.32,0.91954023,0.276595745,0.36,0.594594595,0.848837209,0.384615385
0.448275862,0.179487179,0.590909091,0.377777778,0.65,0.342105263,0.714285714,0.285714286,0.4,0.2,0.390804598,0.468085106,0.826666667,0.486486486,0.558139535,0.450549451
0.327586207,0.333333333,0.427272727,0.755555556,0.65,0.578947368,0.49047619,0.935064935,0.428571429,0.48,0.333333333,0.595744681,0.773333333,0.648648649,0.656976744,0.549450549
0.431034483,0.153846154,0.372727273,0.266666667,0.73,0.289473684,0.557142857,0.428571429,0.314285714,0.2,0.229885057,0.425531915,0.893333333,0.513513514,0.430232558,0.395604396
0.775862069,0.487179487,0.854545455,0.333333333,0.32,0.605263158,0.780952381,0.285714286,0.914285714,0.48,0.804597701,0.425531915,0.52,0.72972973,0.901162791,0.296703297
0.482758621,0.179487179,0.263636364,0.288888889,0.88,0.184210526,0.780952381,0.792207792,0.742857143,0.32,0.574712644,0.70212766,0.946666667,0.702702703,0.965116279,0.373626374
0.551724138,0.025641026,1.0,0.0,0.03,0.0,0.871428571,0.025974026,0.6,0.0,1.0,0.021276596,0.013333333,0.081081081,0.906976744,0.021978022
0.431034483,0.128205128,0.554545455,0.577777778,0.5,0.710526316,0.723809524,0.298701299,0.4,0.24,0.390804598,0.574468085,0.746666667,0.621621622,0.552325581,0.549450549
0.5,0.307692308,0.509090909,0.622222222,0.56,0.5,0.647619048,0.792207792,0.285714286,0.4,0.206896552,0.510638298,0.946666667,0.486486486,0.453488372,0.637362637
0.551724138,0.025641026,0.990909091,0.0,0.02,0.026315789,0.904761905,0.0,0.628571429,0.32,0.873563218,0.553191489,0.24,0.648648649,0.831395349,0.593406593
0.551724138,0.025641026,0.981818182,0.022222222,0.07,0.157894737,0.966666667,0.090909091,0.571428571,0.28,0.816091954,0.595744681,0.226666667,0.72972973,0.825581395,0.549450549
0.75862069,0.230769231,0.927272727,0.066666667,0.01,0.0,0.576190476,0.142857143,0.657142857,0.76,0.632183908,0.680851064,0.413333333,0.918918919,0.598837209,0.373626374
0.431034483,0.128205128,0.390909091,0.644444444,0.68,0.631578947,0.566666667,0.363636364,0.257142857,0.32,0.252873563,0.574468085,0.88,0.567567568,0.331395349,0.549450549
0.586206897,0.051282051,0.927272727,0.244444444,0.31,0.394736842,0.938095238,0.103896104,0.685714286,0.28,0.747126437,0.510638298,0.52,0.648648649,0.860465116,0.406593407
0.551724138,0.051282051,0.981818182,0.044444444,0.02,0.0,0.795238095,0.116883117,0.571428571,0.28,0.747126437,0.617021277,0.36,0.783783784,0.744186047,0.450549451
0.5,0.179487179,0.545454545,0.422222222,0.5,0.342105263,0.619047619,0.467532468,0.485714286,0.36,0.367816092,0.70212766,0.786666667,0.594594595,0.546511628,0.692307692
