months_last_donation,tot_donations,tot_donated_ml,months_first_donation
11,1,250,11
0,26,6500,76
23,2,500,28
23,1,250,23
4,8,2000,28
2,2,500,16
2,1,250,2
2,7,1750,14
2,7,1750,77
11,10,2500,35
4,6,1500,39
4,7,1750,82
11,2,500,21
9,5,1250,51
2,12,3000,70
2,4,1000,35
11,6,1500,26
14,3,750,26
4,19,4750,69
14,2,500,14
21,3,750,26
16,5,1250,40
23,4,1000,53
2,11,2750,40
21,1,250,21
2,12,3000,82
2,3,750,77
11,3,750,37
2,4,1000,16
4,6,1500,43
6,3,750,26
2,5,1250,37
4,3,750,28
2,1,250,2
11,5,1250,38
16,7,1750,64
8,9,2250,64
23,3,750,89
11,2,500,26
2,1,250,2
14,1,250,14
14,4,1000,22
4,8,2000,21
5,46,11500,98
3,4,1000,29
39,1,250,39
4,1,250,4
9,3,750,14
14,4,1000,30
2,6,1500,16
14,2,500,14
23,1,250,23
21,2,500,21
2,3,750,4
11,8,2000,72
21,2,500,41
2,4,1000,14
2,11,2750,41
2,5,1250,16
16,1,250,16
21,1,250,21
21,3,750,35
2,4,1000,43
4,7,1750,32
16,14,3500,83
2,1,250,2
23,1,250,23
11,2,500,11
4,9,2250,28
11,1,250,11
4,2,500,46
4,11,2750,28
11,3,750,15
21,1,250,21
11,6,1500,41
2,7,1750,29
4,20,5000,69
11,3,750,26
2,1,250,2
14,6,1500,34
16,16,4000,77
2,6,1500,28
2,5,1250,33
21,5,1250,60
14,1,250,14
21,6,1500,86
2,3,750,21
2,6,1500,15
1,13,3250,47
14,1,250,14
1,24,6000,77
4,6,1500,30
14,7,1750,47
4,11,2750,78
4,1,250,4
11,3,750,28
0,2,500,4
12,11,2750,39
2,7,1750,28
4,2,500,59
16,3,750,19
4,6,1500,35
14,4,1000,57
23,2,500,26
15,16,4000,82
2,50,12500,98
2,15,3750,49
4,2,500,4
7,5,1250,52
4,12,3000,88
4,9,2250,28
4,1,250,4
11,3,750,14
2,4,1000,23
4,6,1500,52
2,12,3000,98
2,1,250,2
16,1,250,16
23,2,500,26
2,6,1500,22
14,2,500,35
18,2,500,23
2,4,1000,16
16,1,250,16
12,12,3000,58
13,3,750,14
16,4,1000,23
2,4,1000,16
11,2,500,11
2,7,1750,77
13,8,2000,26
40,1,250,40
2,2,500,23
11,7,1750,29
10,4,1000,16
14,1,250,14
11,5,1250,33
2,1,250,2
0,8,2000,59
4,5,1250,58
4,8,2000,34
23,8,2000,46
4,6,1500,41
23,8,2000,64
9,3,750,34
23,1,250,23
4,6,1500,16
2,11,2750,88
16,1,250,16
4,1,250,4
16,10,2500,62
2,1,250,2
4,23,5750,58
14,3,750,19
14,2,500,16
2,2,500,4
2,1,250,2
23,2,500,23
4,1,250,4
4,2,500,51
11,16,4000,89
21,3,750,35
0,3,750,4
23,3,750,28
11,5,1250,35
21,2,500,25
16,6,1500,50
14,4,1000,38
11,4,1000,74
4,3,750,24
2,4,1000,16
8,9,2250,58
10,5,1250,38
2,4,1000,16
2,12,3000,95
4,3,750,34
4,8,2000,46
11,1,250,11
3,21,5250,42
16,6,1500,35
4,1,250,4
2,4,1000,70
2,2,500,4
11,8,2000,46
4,10,2500,28
11,11,2750,38
14,5,1250,28
4,2,500,4
21,2,500,23
14,4,1000,26
11,1,250,11
14,4,1000,40
4,1,250,4
11,12,3000,58
21,3,750,38
4,6,1500,46
16,4,1000,40
4,3,750,16
16,1,250,16
4,1,250,4
16,4,1000,28
21,6,1500,48
23,15,3750,57
7,5,1250,35
4,5,1250,46
4,7,1750,52
2,6,1500,45
4,16,4000,70
2,1,250,2
4,2,500,9
4,5,1250,16
21,2,500,33
2,10,2500,52
2,7,1750,35
3,2,500,23
2,15,3750,64
2,3,750,11
2,2,500,14
2,14,3500,48
1,14,3500,58
4,10,2500,28
2,14,3500,57
2,13,3250,53
2,2,500,2
2,11,2750,46
3,6,1500,21
2,8,2000,35
1,9,2250,51
2,2,500,4
4,2,500,4
4,9,2250,38
2,5,1250,26
3,5,1250,26
4,5,1250,23
4,9,2250,46
4,5,1250,23
4,11,2750,61
2,1,250,2
2,1,250,2
2,1,250,2
2,1,250,2
4,5,1250,33
4,5,1250,34
4,4,1000,26
8,15,3750,77
4,7,1750,58
6,2,500,11
4,1,250,4
4,1,250,4
4,1,250,4
8,10,2500,63
11,22,5500,98
11,8,2000,41
12,13,3250,59
4,5,1250,58
16,11,2750,40
4,4,1000,46
14,18,4500,78
14,16,4000,70
14,5,1250,26
4,2,500,23
11,5,1250,37
11,2,500,17
2,2,500,41
11,7,1750,64
11,1,250,11
11,1,250,11
14,3,750,31
14,1,250,14
14,1,250,14
9,3,750,52
11,4,1000,61
14,3,750,41
16,4,1000,45
16,7,1750,87
11,3,750,76
21,1,250,21
21,1,250,21
21,1,250,21
23,6,1500,70
23,1,250,23
23,3,750,48
21,3,750,64
2,34,8500,77
2,11,2750,23
2,11,2750,28
1,14,3500,95
7,14,3500,48
4,6,1500,28
4,16,4000,98
2,2,500,11
2,2,500,11
2,3,750,22
2,3,750,24
14,8,2000,26
4,11,2750,95
4,1,250,4
4,1,250,4
4,7,1750,62
11,6,1500,28
11,8,2000,52
4,2,500,31
16,2,500,16
17,7,1750,58
14,3,750,35
16,1,250,16
16,1,250,16
23,3,750,35
14,3,750,79
23,1,250,23
23,1,250,23
23,2,500,38
21,2,500,52
2,6,1500,15
4,9,2250,26
4,5,1250,14
2,6,1500,41
9,5,1250,19
9,9,2250,45
4,1,250,4
11,17,4250,79
16,7,1750,28
16,7,1750,38
14,7,1750,73
16,1,250,16
23,14,3500,93
35,3,750,64
4,16,4000,38
4,1,250,4
4,1,250,4
2,2,500,22
14,4,1000,26
11,2,500,38
14,2,500,35
21,3,750,38
23,1,250,23
16,3,750,86
72,1,250,72
2,9,2250,22
2,16,4000,64
4,7,1750,22
2,9,2250,36
2,6,1500,28
12,11,2750,23
2,3,750,19
2,2,500,11
4,6,1500,47
4,1,250,4
4,1,250,4
8,2,500,16
11,2,500,14
16,7,1750,39
9,2,500,26
16,3,750,46
21,1,250,21
21,4,1000,52
23,5,1250,58
23,3,750,40
21,2,500,35
2,11,2750,26
4,33,8250,98
2,7,1750,32
4,1,250,4
2,5,1250,63
4,5,1250,58
14,7,1750,35
15,5,1250,33
14,1,250,14
