0,1,2,3
8,2,500,16
2,3,750,19
11,22,5500,98
14,7,1750,35
2,2,500,4
2,1,250,2
14,5,1250,26
16,6,1500,35
16,6,1500,40
4,4,1000,4
4,1,250,4
6,2,500,11
16,7,1750,39
2,2,500,4
4,4,1000,46
2,11,2750,40
4,1,250,4
9,2,500,16
4,2,500,4
21,2,500,25
14,7,1750,72
2,3,750,75
14,1,250,14
7,5,1250,35
11,2,500,14
23,3,750,40
4,1,250,4
16,3,750,34
4,2,500,9
4,8,2000,21
11,6,1500,28
16,10,2500,62
23,3,750,35
14,1,250,14
9,9,2250,54
11,2,500,11
4,1,250,4
2,1,250,2
4,17,4250,71
2,1,250,2
4,1,250,4
2,6,1500,15
2,2,500,2
2,10,2500,52
2,4,1000,16
14,6,1500,34
9,3,750,14
14,5,1250,14
11,11,2750,42
0,13,3250,28
1,24,6000,77
4,23,5750,58
0,3,750,4
2,3,750,4
4,14,3500,40
4,12,3000,34
2,8,2000,28
2,2,500,4
2,4,1000,16
4,2,500,4
4,2,500,4
0,8,2000,59
4,8,2000,48
2,5,1250,37
5,14,3500,86
4,3,750,16
2,7,1750,58
2,1,250,2
2,1,250,2
2,1,250,2
10,4,1000,16
2,4,1000,35
2,2,500,14
2,5,1250,47
11,6,1500,26
11,3,750,14
4,1,250,4
4,1,250,4
4,1,250,4
4,1,250,4
4,3,750,25
9,2,500,11
7,12,3000,86
11,2,500,11
2,3,750,35
4,3,750,28
2,3,750,38
4,4,1000,43
7,2,500,16
4,5,1250,58
14,5,1250,28
14,3,750,19
14,2,500,14
15,16,4000,82
14,16,4000,98
11,7,1750,62
16,2,500,16
11,3,750,28
9,3,750,34
23,38,9500,98
11,1,250,11
16,4,1000,28
21,16,4000,64
11,2,500,24
9,4,1000,65
14,1,250,14
14,1,250,14
16,8,2000,76
23,5,1250,33
23,8,2000,46
14,5,1250,64
16,1,250,16
16,1,250,16
18,8,2000,95
21,3,750,35
23,3,750,33
21,1,250,21
21,5,1250,60
14,3,750,83
23,1,250,23
23,1,250,23
2,13,3250,32
3,5,1250,12
4,13,3250,39
4,9,2250,28
2,5,1250,16
2,4,1000,14
4,6,1500,30
4,6,1500,35
2,6,1500,45
2,1,250,2
4,1,250,4
4,4,1000,34
11,3,750,23
11,3,750,26
14,7,1750,45
16,15,3750,87
16,4,1000,33
21,7,1750,38
14,3,750,33
14,1,250,14
14,1,250,14
21,2,500,21
16,6,1500,81
23,8,2000,69
25,6,1500,50
21,1,250,21
1,12,3000,35
2,15,3750,49
2,5,1250,16
2,1,250,2
4,1,250,4
11,5,1250,33
12,9,2250,60
11,1,250,11
11,6,1500,58
11,1,250,11
11,5,1250,50
14,1,250,14
16,1,250,16
16,1,250,16
21,1,250,21
23,4,1000,45
6,22,5500,28
4,2,500,13
2,3,750,77
14,3,750,26
14,1,250,14
16,7,1750,64
23,6,1500,45
2,10,2500,28
4,5,1250,11
2,5,1250,16
4,5,1250,16
4,6,1500,23
4,2,500,4
2,5,1250,33
2,5,1250,34
4,8,2000,46
2,1,250,2
13,8,2000,26
2,7,1750,76
4,1,250,4
4,3,750,24
11,3,750,16
3,2,500,23
14,4,1000,23
11,2,500,21
16,1,250,16
16,5,1250,60
21,1,250,21
9,9,2250,38
2,1,250,2
7,9,2250,89
4,2,500,46
16,1,250,16
21,2,500,26
39,1,250,39
