0,1,2,3
0,26,6500,76
25,6,1500,50
23,1,250,23
7,14,3500,48
11,3,750,15
2,1,250,2
3,4,1000,29
2,7,1750,77
2,1,250,2
2,2,500,11
14,2,500,14
11,2,500,21
11,5,1250,37
4,11,2750,64
4,5,1250,34
4,1,250,4
23,6,1500,45
2,9,2250,22
16,12,3000,50
21,3,750,26
14,2,500,21
23,4,1000,53
2,11,2750,41
23,2,500,87
0,8,2000,59
16,1,250,16
16,4,1000,33
0,2,500,4
4,6,1500,46
14,1,250,14
4,11,2750,61
12,12,3000,58
4,6,1500,43
4,5,1250,74
23,1,250,23
7,5,1250,35
23,3,750,89
23,15,3750,57
2,1,250,2
14,4,1000,40
11,17,4250,79
2,9,2250,36
5,46,11500,98
2,6,1500,28
39,1,250,39
4,1,250,4
14,4,1000,26
11,3,750,28
4,12,3000,34
4,2,500,23
23,1,250,23
11,3,750,40
2,3,750,4
16,5,1250,27
21,3,750,70
2,4,1000,14
4,13,3250,39
4,5,1250,16
16,5,1250,60
23,4,1000,45
23,3,750,35
11,22,5500,98
4,16,4000,98
16,10,2500,62
2,3,750,22
23,2,500,38
12,13,3250,59
4,5,1250,14
9,3,750,34
16,3,750,23
4,14,3500,40
14,5,1250,28
14,3,750,79
7,5,1250,52
2,11,2750,46
4,20,5000,69
14,8,2000,50
2,2,500,22
11,2,500,14
16,1,250,16
2,6,1500,22
4,6,1500,23
23,1,250,23
14,1,250,14
16,2,500,70
2,1,250,2
14,2,500,35
1,13,3250,47
4,2,500,46
1,24,6000,77
3,8,2000,50
11,4,1000,34
4,6,1500,39
4,1,250,4
16,6,1500,35
2,7,1750,29
14,8,2000,26
2,7,1750,28
14,1,250,14
14,2,500,14
2,2,500,11
21,1,250,21
21,1,250,21
16,3,750,19
2,50,12500,98
4,9,2250,26
2,6,1500,28
9,9,2250,54
11,10,2500,35
5,24,6000,79
4,1,250,4
4,1,250,4
4,6,1500,30
11,6,1500,27
2,1,250,2
2,1,250,2
4,4,1000,4
21,1,250,21
2,2,500,2
16,3,750,46
11,4,1000,61
2,2,500,4
16,1,250,16
4,4,1000,41
14,2,500,14
14,2,500,14
2,2,500,4
11,2,500,11
2,7,1750,77
4,12,3000,88
4,2,500,13
4,5,1250,58
11,6,1500,26
11,9,2250,33
14,1,250,14
12,9,2250,60
11,11,2750,38
2,5,1250,26
4,5,1250,58
4,5,1250,11
23,5,1250,33
4,6,1500,41
21,1,250,21
16,2,500,16
21,3,750,64
2,13,3250,53
11,24,6000,64
21,2,500,23
16,7,1750,28
23,19,4750,62
11,4,1000,16
4,23,5750,58
14,5,1250,28
11,5,1250,41
2,2,500,4
13,3,750,16
23,2,500,23
4,1,250,4
4,2,500,51
4,5,1250,58
23,8,2000,69
0,3,750,4
23,3,750,28
14,5,1250,26
11,2,500,52
14,3,750,28
11,6,1500,71
16,1,250,16
2,7,1750,76
4,2,500,4
9,2,500,11
11,4,1000,27
2,7,1750,35
9,5,1250,19
4,3,750,34
2,6,1500,28
23,38,9500,98
4,4,1000,4
14,4,1000,23
4,1,250,4
8,2,500,16
2,4,1000,16
16,11,2750,40
2,11,2750,40
2,2,500,14
9,2,500,16
4,2,500,4
16,2,500,27
11,5,1250,50
17,7,1750,58
11,2,500,26
4,1,250,4
4,1,250,4
21,4,1000,52
4,11,2750,95
14,1,250,14
2,7,1750,58
72,1,250,72
4,1,250,4
16,4,1000,28
21,6,1500,48
4,3,750,71
4,1,250,4
7,12,3000,86
4,1,250,4
2,3,750,21
2,7,1750,32
2,1,250,2
4,1,250,4
2,10,2500,28
2,16,4000,64
2,10,2500,52
4,2,500,4
16,8,2000,28
4,1,250,4
4,4,1000,16
4,7,1750,58
2,3,750,4
4,11,2750,28
2,6,1500,16
4,10,2500,28
4,6,1500,16
2,10,2500,49
2,3,750,9
3,16,4000,74
2,2,500,4
2,4,1000,16
4,2,500,4
2,10,2500,64
2,4,1000,26
2,2,500,10
2,11,2750,88
2,9,2250,74
4,2,500,9
4,3,750,16
6,3,750,14
4,11,2750,78
2,1,250,2
2,1,250,2
2,1,250,2
2,1,250,2
2,1,250,2
2,1,250,2
4,5,1250,35
4,7,1750,52
2,4,1000,35
11,11,2750,42
11,7,1750,29
4,6,1500,52
10,8,2000,39
4,2,500,14
2,4,1000,43
11,2,500,11
11,8,2000,46
4,5,1250,58
9,1,250,9
4,2,500,29
11,9,2250,72
14,8,2000,50
14,2,500,16
14,7,1750,47
14,4,1000,30
11,1,250,11
11,1,250,11
14,1,250,14
14,1,250,14
4,2,500,59
16,4,1000,40
16,10,2500,89
18,2,500,23
16,3,750,34
16,2,500,26
21,2,500,23
9,2,500,52
9,2,500,52
14,4,1000,64
14,3,750,52
11,3,750,76
23,12,3000,86
23,2,500,26
21,1,250,21
22,1,250,22
26,5,1250,49
23,1,250,23
21,6,1500,86
74,1,250,74
2,44,11000,98
2,21,5250,52
4,8,2000,28
4,5,1250,16
4,7,1750,32
14,5,1250,14
4,6,1500,38
11,5,1250,18
9,11,2750,49
3,5,1250,38
3,1,250,3
13,3,750,14
11,2,500,11
8,9,2250,64
9,1,250,9
11,1,250,11
11,1,250,11
11,1,250,11
2,3,750,75
16,14,3500,83
13,7,1750,76
11,4,1000,74
23,2,500,23
16,5,1250,71
21,1,250,21
23,1,250,23
23,4,1000,52
23,7,1750,88
9,9,2250,16
2,12,3000,47
2,2,500,2
2,16,4000,81
4,5,1250,26
2,1,250,2
2,1,250,2
4,1,250,4
4,7,1750,82
11,2,500,16
16,5,1250,40
14,1,250,14
11,4,1000,59
14,4,1000,57
38,1,250,38
40,1,250,40
2,15,3750,64
5,6,1500,28
4,2,500,9
2,2,500,11
9,3,750,14
4,1,250,4
4,2,500,30
2,2,500,2
4,8,2000,34
4,8,2000,40
2,7,1750,46
2,2,500,10
2,2,500,11
8,8,2000,52
11,12,3000,58
2,6,1500,75
11,5,1250,35
14,6,1500,34
11,5,1250,38
9,1,250,9
11,1,250,11
14,3,750,26
4,2,500,52
21,2,500,21
23,2,500,26
21,3,750,38
21,1,250,21
23,3,750,41
38,1,250,38
3,21,5250,42
4,16,4000,70
4,4,1000,18
12,15,3750,71
11,16,4000,89
16,6,1500,50
14,2,500,29
21,1,250,21
