0,1,2,3,4,5,6
3,12356,6036,8887,402,1382,2794
3,112151,29627,18148,16745,4948,8550
3,36847,43950,20170,36534,239,47943
3,17023,5139,5230,7888,330,1755
1,11686,2154,6824,3527,592,697
1,4484,14399,24708,3549,14235,1681
1,3317,6602,6861,1329,3961,1215
1,8040,3795,2070,6340,918,291
1,6623,1860,4740,7683,205,1693
1,29526,7961,16966,432,363,1391
1,15218,258,1138,2516,333,204
1,2083,5007,1563,1120,147,1550
3,680,1610,223,862,96,379
3,68951,4411,12609,8692,751,2406
3,2708,2160,2642,502,965,1522
2,19087,1304,3643,3045,710,898
2,8090,3199,6986,1455,3712,531
2,6758,4560,9965,934,4538,1037
2,1182,3088,6114,978,821,1637
2,15881,713,3315,3703,1470,229
2,16933,2209,3389,7849,210,1534
2,16823,928,2743,11559,332,3486
3,3043,1172,1763,2234,217,379
3,27380,7184,12311,2809,4621,1022
3,608,1106,1533,830,90,195
3,2121,1601,2453,560,179,712
3,15076,6257,7398,1504,1916,3113
3,3225,3294,1902,282,68,1114
3,1206,3620,2857,1945,353,967
3,20918,1916,1573,1960,231,961
3,518,4180,3600,659,122,654
3,4446,906,1238,3576,153,1014
3,25606,11006,4604,127,632,288
3,2126,3289,3281,1535,235,4365
3,4983,4859,6633,17866,912,2435
3,4389,10940,10908,848,6728,993
3,17063,4847,9053,1031,3415,1784
3,13134,9347,14316,3141,5079,1894
3,8607,1750,3580,47,84,2501
3,24653,9465,12091,294,5058,2168
3,18815,3610,11107,1148,2134,2963
3,688,5491,11091,833,4239,436
3,40721,3916,5876,532,2587,1278
3,6137,5360,8040,129,3084,1603
3,16705,2037,3202,10643,116,1365
3,503,112,778,895,56,132
3,1454,6337,10704,133,6830,1831
3,4822,6721,9170,993,4973,3637
3,16936,6250,1981,7332,118,64
1,4042,2204,1563,2286,263,689
3,17360,6200,9694,1293,3620,1721
3,5981,14641,20521,2005,12218,445
3,4048,5164,10391,130,813,179
3,27167,2801,2128,13223,92,1902
3,8258,2344,2147,3896,266,635
3,1989,10690,19460,233,11577,2153
3,3157,4888,2500,4477,273,2165
1,5550,12729,16767,864,12420,797
1,12680,3243,4157,660,761,786
3,11693,2317,2543,5845,274,1409
3,15354,2102,2828,8366,386,1027
3,42786,286,471,1388,32,22
2,7588,1897,5234,417,2208,254
2,9790,1786,5109,3570,182,1043
2,13970,1511,1330,650,146,778
3,4734,607,864,1206,159,405
3,10683,21858,15400,3635,282,5120
3,16980,2884,12232,874,3213,249
3,21117,1162,4754,269,1328,395
