Unnamed: 0,year,month,day,hour,DEW_POINT,TEMP,PRESS,cbwd-cos,cbwd-sin,cum_ws,cum_hrs_snow,cum_hrs_rain
27647,2013,5,16,5,9,13.0,1018.0,0.0,0.0,2.23,0,0
31500,2013,10,25,14,-7,18.0,1025.0,0.0,0.0,3.13,0,0
40509,2014,11,8,7,-4,0.0,1029.0,-0.707,0.707,7.6,0,0
5429,2010,8,30,4,18,20.0,1008.0,0.707,0.707,1.79,0,0
24161,2012,12,15,22,0,1.0,1028.0,0.707,-0.707,1.79,0,0
39862,2014,10,12,6,5,14.0,1030.0,-0.707,0.707,8.05,0,0
15091,2011,11,18,22,4,6.0,1018.0,0.707,-0.707,29.07,0,2
33245,2014,1,7,5,-6,-3.0,1024.0,-0.707,0.707,5.81,0,0
19488,2012,5,25,21,10,20.0,1009.0,0.707,-0.707,21.45,0,0
26944,2013,4,16,22,-1,10.0,1012.0,0.707,-0.707,32.63,0,0
9722,2011,3,13,8,-2,6.0,1010.0,-0.707,0.707,7.6,0,0
33510,2014,1,18,11,-20,4.0,1035.0,0.707,0.707,4.02,0,0
2429,2010,4,17,14,3,12.0,1021.0,0.707,-0.707,95.21,0,0
36483,2014,5,22,19,9,31.0,1006.0,0.707,-0.707,53.19,0,0
16483,2012,1,19,2,-6,-3.0,1028.0,0.0,0.0,4.45,0,0
30224,2013,9,2,1,14,18.0,1014.0,-0.707,0.707,3.13,0,0
29842,2013,8,16,18,26,30.0,997.0,0.0,0.0,1.78,0,0
17435,2012,2,27,18,-11,3.0,1021.0,0.707,-0.707,12.95,0,0
39646,2014,10,3,6,12,14.0,1017.0,-0.707,0.707,0.89,0,0
23855,2012,12,3,3,-9,-8.0,1018.0,-0.707,0.707,4.47,0,0
11786,2011,6,21,7,20,26.0,1004.0,0.707,-0.707,49.63,0,0
19623,2012,5,31,14,8,27.0,1015.0,0.707,-0.707,13.86,0,0
2492,2010,4,20,5,7,8.0,1018.0,0.707,-0.707,4.47,0,0
32390,2013,12,1,18,-14,8.0,1021.0,0.707,-0.707,9.39,0,0
18909,2012,4,29,15,-2,21.0,1010.0,0.707,-0.707,10.28,0,0
29377,2013,7,28,9,21,29.0,1001.0,0.0,0.0,0.89,0,0
38395,2014,8,11,11,13,33.0,1005.0,-0.707,0.707,9.84,0,0
35977,2014,5,1,15,13,27.0,1005.0,0.707,-0.707,23.7,0,0
18077,2012,3,25,22,-5,7.0,1021.0,0.707,-0.707,30.4,0,0
18346,2012,4,6,3,-6,9.0,1017.0,0.0,0.0,0.89,0,0
40351,2014,11,1,16,-9,15.0,1018.0,-0.707,0.707,44.7,0,0
12917,2011,8,13,6,24,25.0,1001.0,0.707,-0.707,15.21,0,0
16060,2011,12,29,9,-11,-6.0,1040.0,0.707,-0.707,14.76,2,0
342,2010,1,16,6,-15,-10.0,1034.0,-0.707,0.707,2.68,0,0
19085,2012,5,7,0,5,19.0,1006.0,0.707,0.707,1.79,0,0
38706,2014,8,24,21,19,26.0,1009.0,0.707,-0.707,12.97,0,0
798,2010,2,7,1,-7,-5.0,1026.0,0.707,-0.707,48.73,7,0
12883,2011,8,11,20,24,29.0,1004.0,0.707,-0.707,21.47,0,0
9074,2011,2,13,23,-15,-5.0,1033.0,-0.707,0.707,12.07,0,0
955,2010,2,13,14,-20,3.0,1027.0,0.0,0.0,1.79,0,0
36670,2014,5,30,14,14,35.0,1005.0,0.707,-0.707,23.69,0,0
40338,2014,11,1,3,8,8.0,1019.0,-0.707,0.707,1.79,0,0
36743,2014,6,2,15,12,25.0,1010.0,0.707,-0.707,4.92,0,0
4920,2010,8,6,3,12,18.0,1015.0,-0.707,0.707,140.37,0,0
15911,2011,12,23,4,-14,-9.0,1026.0,-0.707,0.707,2.68,0,0
27374,2013,5,4,20,3,21.0,1015.0,0.707,-0.707,54.97,0,0
30917,2013,10,1,1,15,18.0,1016.0,0.0,0.0,0.89,0,0
38079,2014,7,29,7,21,26.0,1004.0,0.707,-0.707,82.7,0,0
40138,2014,10,23,19,9,12.0,1013.0,0.0,0.0,1.34,0,0
1953,2010,3,27,8,-9,3.0,1027.0,0.707,-0.707,16.99,0,0
18581,2012,4,15,22,3,15.0,1016.0,0.707,-0.707,38.45,0,0
34399,2014,2,24,17,-5,7.0,1025.0,0.0,0.0,5.35,0,0
11099,2011,5,22,0,2,18.0,1012.0,0.707,-0.707,35.31,0,0
34245,2014,2,18,4,-12,-4.0,1034.0,0.707,-0.707,1.79,0,0
9100,2011,2,15,1,-13,-9.0,1029.0,0.0,0.0,0.89,0,0
12383,2011,7,16,4,20,23.0,1005.0,0.707,-0.707,47.4,0,0
17713,2012,3,10,17,-24,3.0,1028.0,-0.707,0.707,107.73,0,0
31809,2013,11,7,11,-15,12.0,1022.0,-0.707,0.707,3.13,0,0
22438,2012,10,4,1,8,11.0,1015.0,0.0,0.0,2.23,0,0
5472,2010,8,31,23,20,23.0,1012.0,0.707,-0.707,0.89,0,0
32244,2013,11,25,16,-21,7.0,1017.0,-0.707,0.707,162.73,0,0
16434,2012,1,13,23,-13,-7.0,1026.0,-0.707,0.707,1.79,0,0
40937,2014,11,26,16,0,7.0,1016.0,0.707,-0.707,1.79,0,0
22241,2012,9,25,15,18,20.0,1017.0,-0.707,0.707,11.17,0,0
28245,2013,6,10,20,15,22.0,1011.0,0.707,-0.707,15.2,0,0
9147,2011,2,17,0,-6,-4.0,1023.0,0.707,0.707,0.89,0,0
40501,2014,11,7,23,-1,2.0,1030.0,0.707,-0.707,0.89,0,0
21023,2012,7,31,17,20,21.0,1006.0,-0.707,0.707,6.71,0,14
36747,2014,6,2,19,12,25.0,1009.0,0.707,-0.707,3.13,0,0
12248,2011,7,10,13,20,31.0,1006.0,0.0,0.0,2.68,0,0
13963,2011,9,27,10,16,20.0,1018.0,0.707,0.707,1.79,0,0
24957,2013,1,23,15,-5,-3.0,1016.0,0.707,-0.707,7.16,0,0
34778,2014,3,12,12,-23,10.0,1027.0,-0.707,0.707,4.02,0,0
15416,2011,12,2,12,-1,-1.0,1023.0,0.0,0.0,0.89,6,0
27447,2013,5,7,21,9,24.0,1014.0,0.707,-0.707,38.44,0,0
38436,2014,8,13,4,18,21.0,1007.0,0.707,0.707,4.02,0,1
38556,2014,8,18,4,17,22.0,1011.0,0.0,0.0,0.45,0,0
14513,2011,10,24,12,-7,14.0,1028.0,0.707,0.707,3.13,0,0
27872,2013,5,26,6,18,21.0,1008.0,0.707,0.707,1.79,0,0
569,2010,1,28,12,-21,1.0,1027.0,-0.707,0.707,44.7,0,0
23724,2012,11,27,16,-6,3.0,1008.0,0.0,0.0,0.89,0,0
25189,2013,2,2,8,-15,-8.0,1034.0,-0.707,0.707,18.33,0,0
15928,2011,12,23,21,-16,1.0,1027.0,-0.707,0.707,7.15,0,0
11519,2011,6,10,4,19,22.0,1000.0,0.707,-0.707,1.79,0,0
40204,2014,10,26,13,-11,16.0,1026.0,0.707,0.707,49.17,0,0
3264,2010,5,22,11,14,26.0,1007.0,0.0,0.0,4.46,0,0
33527,2014,1,19,4,-7,-2.0,1027.0,0.0,0.0,0.89,0,0
9088,2011,2,14,13,-17,-1.0,1032.0,0.0,0.0,1.78,0,0
34950,2014,3,19,16,-4,12.0,1022.0,0.707,0.707,6.26,0,0
31743,2013,11,4,17,-6,15.0,1025.0,0.707,-0.707,16.09,0,0
17223,2012,2,18,22,-19,-5.0,1028.0,0.0,0.0,1.78,0,0
41004,2014,11,29,11,0,3.0,1022.0,0.0,0.0,1.34,0,0
24731,2013,1,14,3,-10,-10.0,1025.0,-0.707,0.707,4.92,0,0
32581,2013,12,9,17,-19,5.0,1022.0,-0.707,0.707,225.3,0,0
27908,2013,5,27,18,15,22.0,1005.0,0.0,0.0,0.89,0,0
23423,2012,11,14,5,-12,-4.0,1024.0,-0.707,0.707,4.02,0,0
24437,2013,1,1,19,-26,-9.0,1029.0,-0.707,0.707,96.13,0,0
1072,2010,2,18,12,-21,3.0,1024.0,0.0,0.0,2.67,0,0
35469,2014,4,10,8,0,15.0,1023.0,0.707,-0.707,12.51,0,0
39691,2014,10,5,3,11,11.0,1022.0,0.707,-0.707,0.89,0,0
18742,2012,4,22,15,12,22.0,1001.0,0.707,-0.707,3.13,0,0
423,2010,1,19,15,-3,2.0,1018.0,0.0,0.0,0.45,0,0
4836,2010,8,2,15,13,32.0,1006.0,0.0,0.0,0.89,0,0
22891,2012,10,23,0,4,5.0,1019.0,0.0,0.0,0.89,0,0
26972,2013,4,18,2,-10,8.0,1020.0,0.707,0.707,14.3,0,0
28091,2013,6,4,10,16,22.0,1013.0,0.707,-0.707,38.0,0,0
7492,2010,12,7,1,-13,-2.0,1025.0,0.0,0.0,0.89,0,0
31788,2013,11,6,14,-17,18.0,1015.0,-0.707,0.707,34.87,0,0
6652,2010,10,30,17,-2,16.0,1025.0,0.707,-0.707,1.79,0,0
35054,2014,3,24,1,-2,6.0,1018.0,0.707,0.707,0.89,0,0
39213,2014,9,15,0,12,14.0,1019.0,-0.707,0.707,0.89,0,0
29922,2013,8,20,3,19,24.0,1009.0,0.0,0.0,0.45,0,0
367,2010,1,17,7,-15,-10.0,1030.0,-0.707,0.707,11.63,0,0
6777,2010,11,7,4,6,9.0,1015.0,0.0,0.0,0.89,0,0
20388,2012,7,3,2,18,23.0,996.0,-0.707,0.707,1.79,0,0
11498,2011,6,9,7,19,23.0,1005.0,0.0,0.0,0.89,0,0
26923,2013,4,15,23,-1,10.0,1003.0,0.707,-0.707,59.01,0,0
11160,2011,5,24,13,9,27.0,1013.0,0.707,-0.707,105.05,0,0
13187,2011,8,26,0,20,21.0,1016.0,-0.707,0.707,1.79,0,0
11556,2011,6,11,17,14,22.0,1002.0,0.707,-0.707,16.09,0,0
12723,2011,7,30,8,21,23.0,1002.0,-0.707,0.707,8.04,0,0
22586,2012,10,10,5,2,8.0,1022.0,0.0,0.0,1.78,0,0
37445,2014,7,2,14,21,25.0,1002.0,0.0,0.0,1.78,0,0
41481,2014,12,20,3,-18,-4.0,1031.0,-0.707,0.707,200.26,0,0
18589,2012,4,16,6,2,7.0,1020.0,0.0,0.0,1.34,0,0
13137,2011,8,22,12,20,30.0,1011.0,0.0,0.0,3.57,0,0
3671,2010,6,14,0,17,19.0,1006.0,0.707,0.707,1.79,0,0
13217,2011,8,27,6,20,20.0,1014.0,0.0,0.0,2.67,0,0
33875,2014,2,2,18,-29,4.0,1018.0,-0.707,0.707,104.16,0,0
25522,2013,2,16,6,-12,-6.0,1024.0,0.0,0.0,0.89,0,0
2335,2010,4,13,16,-19,11.0,1025.0,-0.707,0.707,280.29,0,0
39067,2014,9,8,22,12,18.0,1009.0,0.0,0.0,1.78,0,0
15489,2011,12,5,13,-1,-1.0,1031.0,0.0,0.0,1.78,0,0
25090,2013,1,29,4,-8,-7.0,1024.0,0.0,0.0,1.79,0,0
25496,2013,2,15,4,-18,-7.0,1030.0,-0.707,0.707,26.36,0,0
39633,2014,10,2,17,13,20.0,1012.0,0.707,-0.707,3.58,0,0
9227,2011,2,20,8,-8,-5.0,1028.0,-0.707,0.707,0.89,0,0
5325,2010,8,25,20,19,23.0,1014.0,0.0,0.0,0.89,0,0
25992,2013,3,7,22,-1,6.0,1003.0,-0.707,0.707,1.79,0,0
30254,2013,9,3,7,16,19.0,1017.0,-0.707,0.707,3.13,0,0
22766,2012,10,17,18,-7,15.0,1016.0,0.707,-0.707,8.94,0,0
40780,2014,11,19,15,0,9.0,1020.0,0.0,0.0,1.79,0,0
10240,2011,4,11,17,-13,21.0,1016.0,0.707,-0.707,10.73,0,0
5362,2010,8,27,9,16,23.0,1014.0,-0.707,0.707,42.92,0,0
33966,2014,2,6,13,-15,1.0,1029.0,0.0,0.0,1.78,0,0
7404,2010,12,3,9,-11,-3.0,1025.0,0.707,-0.707,1.79,0,0
6677,2010,10,31,18,0,11.0,1023.0,0.0,0.0,0.89,0,0
7475,2010,12,6,8,-16,-1.0,1034.0,-0.707,0.707,186.82,0,0
23580,2012,11,21,14,-4,9.0,1017.0,0.0,0.0,3.56,0,0
40635,2014,11,13,13,-14,12.0,1024.0,-0.707,0.707,17.89,0,0
25495,2013,2,15,3,-18,-4.0,1030.0,-0.707,0.707,23.23,0,0
12116,2011,7,5,1,19,28.0,1001.0,0.707,-0.707,36.2,0,0
1909,2010,3,25,12,-20,7.0,1028.0,-0.707,0.707,51.85,0,0
35316,2014,4,3,23,-9,10.0,1022.0,0.707,-0.707,7.15,0,0
6403,2010,10,20,8,6,8.0,1029.0,0.707,0.707,0.89,0,0
10537,2011,4,27,20,4,15.0,1010.0,0.707,-0.707,28.15,0,0
30115,2013,8,28,8,19,21.0,1001.0,0.0,0.0,2.68,0,5
25264,2013,2,5,11,-4,-3.0,1024.0,0.707,-0.707,41.14,3,0
14543,2011,10,26,2,2,5.0,1026.0,0.0,0.0,0.89,0,0
21307,2012,8,14,10,20,24.0,1007.0,0.707,-0.707,3.58,0,0
3978,2010,6,27,21,18,24.0,1003.0,0.707,0.707,4.92,0,0
37581,2014,7,8,6,21,25.0,1001.0,-0.707,0.707,0.89,0,0
8691,2011,1,29,0,-23,-7.0,1037.0,-0.707,0.707,92.54,0,0
12671,2011,7,28,4,24,25.0,1004.0,0.707,-0.707,46.48,0,0
14194,2011,10,11,4,12,15.0,1025.0,0.707,0.707,0.89,0,0
34366,2014,2,23,8,-6,1.0,1032.0,0.0,0.0,3.56,0,0
26451,2013,3,27,4,4,5.0,1007.0,0.707,-0.707,22.36,0,0
25938,2013,3,5,15,-9,14.0,1013.0,0.707,-0.707,3.13,0,0
38510,2014,8,16,6,17,20.0,1008.0,-0.707,0.707,7.16,0,0
15765,2011,12,17,1,-19,-13.0,1035.0,-0.707,0.707,1.79,0,0
521,2010,1,26,12,-15,-1.0,1025.0,0.707,-0.707,1.79,0,0
31696,2013,11,2,18,4,9.0,1021.0,0.707,-0.707,17.89,0,0
26973,2013,4,18,3,-11,7.0,1021.0,-0.707,0.707,5.81,0,0
26637,2013,4,3,23,-4,8.0,1016.0,0.707,-0.707,66.61,0,0
18656,2012,4,19,1,13,14.0,1010.0,0.707,0.707,3.13,0,0
12118,2011,7,5,3,18,27.0,1001.0,0.707,-0.707,43.35,0,0
41346,2014,12,14,12,-18,5.0,1027.0,0.0,0.0,1.79,0,0
22704,2012,10,15,3,7,14.0,1020.0,0.0,0.0,67.64,0,0
31845,2013,11,8,23,0,7.0,1021.0,0.0,0.0,3.13,0,0
18252,2012,4,2,5,-7,6.0,1013.0,0.0,0.0,0.9,0,0
4690,2010,7,27,13,23,34.0,1004.0,0.707,-0.707,16.09,0,0
17021,2012,2,10,12,-21,2.0,1030.0,0.0,0.0,2.68,0,0
438,2010,1,20,6,-5,2.0,1026.0,-0.707,0.707,36.67,0,0
33881,2014,2,3,0,-35,1.0,1023.0,0.707,0.707,26.82,0,0
35204,2014,3,30,7,1,10.0,1016.0,0.707,0.707,3.13,0,0
18796,2012,4,24,21,12,14.0,1009.0,-0.707,0.707,61.24,0,0
41734,2014,12,31,1,-18,-1.0,1028.0,-0.707,0.707,61.67,0,0
30343,2013,9,7,0,16,19.0,1016.0,0.707,-0.707,1.79,0,0
814,2010,2,7,17,-6,-3.0,1020.0,0.707,-0.707,5.37,0,0
6752,2010,11,6,3,2,4.0,1017.0,-0.707,0.707,3.58,0,0
24945,2013,1,23,3,-7,-6.0,1022.0,0.707,-0.707,6.26,0,0
40236,2014,10,27,21,-2,9.0,1030.0,0.707,-0.707,33.97,0,0
8329,2011,1,13,22,-17,-5.0,1025.0,0.707,-0.707,1.79,0,0
21367,2012,8,17,0,18,24.0,1010.0,0.707,-0.707,46.04,0,0
9772,2011,3,15,10,-20,4.0,1030.0,-0.707,0.707,261.51,0,0
28384,2013,6,16,15,20,22.0,1002.0,0.707,0.707,3.58,0,0
19406,2012,5,22,1,17,22.0,1012.0,0.707,-0.707,1.79,0,0
21704,2012,9,3,4,10,18.0,1012.0,0.707,0.707,15.19,0,0
5694,2010,9,10,5,15,16.0,1009.0,-0.707,0.707,0.89,0,0
24584,2013,1,7,22,-14,-7.0,1027.0,0.0,0.0,0.45,0,0
3504,2010,6,1,17,15,25.0,1012.0,0.707,-0.707,7.15,0,0
6183,2010,10,11,2,11,13.0,1013.0,-0.707,0.707,27.71,0,7
9460,2011,3,2,1,-16,-1.0,1026.0,-0.707,0.707,121.59,0,0
20430,2012,7,4,22,17,26.0,1003.0,0.707,-0.707,34.86,0,0
7951,2010,12,26,4,-17,-6.0,1019.0,-0.707,0.707,8.94,0,0
1885,2010,3,24,12,-15,11.0,1022.0,0.707,0.707,19.22,0,0
20203,2012,6,25,5,20,20.0,1005.0,0.707,-0.707,1.79,0,0
36245,2014,5,12,19,10,27.0,999.0,0.707,-0.707,50.07,0,0
28863,2013,7,6,16,18,35.0,999.0,0.707,-0.707,28.62,0,0
36454,2014,5,21,14,13,30.0,1004.0,0.707,-0.707,3.13,0,0
35070,2014,3,24,17,0,21.0,1009.0,0.707,-0.707,8.04,0,0
32978,2013,12,26,8,-23,-5.0,1036.0,-0.707,0.707,212.79,0,0
9787,2011,3,16,1,-15,1.0,1026.0,0.0,0.0,0.89,0,0
31254,2013,10,15,6,-5,2.0,1033.0,0.0,0.0,0.89,0,0
6329,2010,10,17,6,-6,8.0,1028.0,0.707,-0.707,82.68,0,0
541,2010,1,27,8,-11,-3.0,1015.0,0.707,0.707,3.13,0,0
20115,2012,6,21,10,18,28.0,1005.0,0.707,-0.707,4.92,0,0
20193,2012,6,24,19,22,24.0,1003.0,0.707,-0.707,8.05,0,0
40740,2014,11,17,23,-7,1.0,1031.0,0.0,0.0,0.89,0,0
20777,2012,7,19,13,23,29.0,1006.0,0.707,-0.707,17.9,0,0
21673,2012,9,1,21,22,23.0,1009.0,-0.707,0.707,0.89,0,0
28208,2013,6,9,7,19,20.0,1008.0,-0.707,0.707,1.79,0,0
23985,2012,12,8,13,-27,-5.0,1027.0,-0.707,0.707,177.45,0,0
18406,2012,4,8,15,-14,24.0,1013.0,-0.707,0.707,84.94,0,0
14705,2011,11,2,18,5,12.0,1028.0,-0.707,0.707,5.37,0,0
18837,2012,4,26,14,8,20.0,1000.0,0.707,-0.707,3.13,0,0
22434,2012,10,3,21,3,18.0,1014.0,-0.707,0.707,5.81,0,0
20547,2012,7,9,19,23,26.0,1001.0,0.707,-0.707,25.93,0,2
40602,2014,11,12,4,-15,4.0,1023.0,-0.707,0.707,165.86,0,0
4381,2010,7,14,16,21,27.0,1010.0,0.707,-0.707,9.39,0,0
770,2010,2,5,21,-12,-5.0,1032.0,0.707,-0.707,9.83,0,0
20426,2012,7,4,18,21,29.0,1000.0,0.707,-0.707,18.78,0,0
36368,2014,5,17,22,7,21.0,1012.0,0.707,-0.707,49.16,0,0
18401,2012,4,8,10,-16,19.0,1017.0,-0.707,0.707,54.54,0,0
5623,2010,9,7,6,21,23.0,1012.0,0.707,-0.707,0.89,0,0
25606,2013,2,19,18,-16,-1.0,1027.0,0.707,-0.707,27.72,0,0
36987,2014,6,13,9,17,28.0,1008.0,0.0,0.0,2.68,0,0
542,2010,1,27,9,-10,-1.0,1015.0,0.707,0.707,6.26,0,0
28974,2013,7,11,7,21,23.0,1006.0,-0.707,0.707,55.43,0,0
38872,2014,8,31,19,21,22.0,1013.0,0.707,0.707,1.79,0,0
10485,2011,4,25,16,5,18.0,1001.0,0.707,-0.707,24.15,0,0
1606,2010,3,12,18,-19,7.0,1020.0,0.707,-0.707,1.79,0,0
23424,2012,11,14,6,-12,-4.0,1024.0,-0.707,0.707,8.04,0,0
19430,2012,5,23,9,0,24.0,1014.0,0.707,0.707,10.28,0,0
18740,2012,4,22,13,11,20.0,1003.0,0.707,-0.707,3.58,0,0
20,2010,1,2,20,-7,-5.0,1028.0,0.707,-0.707,46.04,0,0
2659,2010,4,27,4,-13,4.0,1011.0,-0.707,0.707,98.36,0,0
31484,2013,10,24,22,-3,9.0,1028.0,-0.707,0.707,74.65,0,0
27725,2013,5,20,3,-2,13.0,1003.0,0.707,-0.707,1.79,0,0
13042,2011,8,18,11,16,28.0,1011.0,0.0,0.0,1.79,0,0
8945,2011,2,8,14,-12,8.0,1016.0,0.707,0.707,26.38,0,0
35588,2014,4,15,10,7,21.0,1021.0,0.707,-0.707,9.83,0,0
32608,2013,12,10,20,-20,2.0,1022.0,-0.707,0.707,102.37,0,0
3813,2010,6,19,22,21,24.0,1005.0,0.0,0.0,1.78,0,0
12949,2011,8,14,14,26,28.0,1002.0,0.707,-0.707,8.95,0,1
27065,2013,4,21,23,3,13.0,1016.0,0.707,-0.707,63.03,0,0
23015,2012,10,28,4,-3,9.0,1026.0,0.707,0.707,4.02,0,0
8431,2011,1,18,4,-23,-12.0,1035.0,-0.707,0.707,8.94,0,0
5542,2010,9,3,21,19,22.0,1013.0,0.0,0.0,2.23,0,0
32027,2013,11,16,13,-16,12.0,1018.0,-0.707,0.707,95.65,0,0
37222,2014,6,23,7,16,22.0,1010.0,-0.707,0.707,26.37,0,0
40770,2014,11,19,5,-4,-2.0,1025.0,0.0,0.0,0.89,0,0
27985,2013,5,31,0,6,27.0,1003.0,0.707,-0.707,90.75,0,0
34661,2014,3,7,15,-28,8.0,1028.0,0.707,-0.707,1.79,0,0
5607,2010,9,6,14,19,30.0,1009.0,0.707,-0.707,1.79,0,0
37588,2014,7,8,13,17,34.0,1002.0,-0.707,0.707,10.73,0,0
35787,2014,4,23,17,11,24.0,1007.0,0.707,-0.707,115.34,0,0
24549,2013,1,6,11,-19,-3.0,1029.0,-0.707,0.707,34.86,0,0
8607,2011,1,25,12,-21,-3.0,1035.0,-0.707,0.707,57.23,0,0
1097,2010,2,19,13,-16,9.0,1016.0,0.707,-0.707,4.02,0,0
26273,2013,3,19,17,1,3.0,1015.0,0.707,0.707,15.19,0,1
4333,2010,7,12,16,21,24.0,1006.0,0.707,-0.707,1.79,0,0
31111,2013,10,9,7,10,12.0,1013.0,0.707,0.707,0.89,0,0
34554,2014,3,3,4,-6,-2.0,1023.0,0.0,0.0,0.89,0,0
31803,2013,11,7,5,-11,7.0,1022.0,-0.707,0.707,146.19,0,0
11440,2011,6,6,21,18,23.0,999.0,0.707,-0.707,3.58,0,0
