Cemment,Slag,Fly_ash,Water,SP,Coarse_Aggr,Fine_Aggr
0.797468354,0.0,0.642307692,0.175,0.109589041,0.514770401,0.579188982
0.088607595,0.0,0.946153846,0.175,0.178082192,0.956420006,0.250191278
0.523206751,0.404145078,0.384615385,0.5125,0.315068493,0.456273764,0.460596787
0.046413502,0.932642487,0.0,0.2875,0.452054795,0.772155601,0.445294568
0.594936709,0.0,0.45,0.5625,0.315068493,0.488446914,0.605967865
0.056118143,0.577202073,0.918461538,0.09125,0.143835616,0.852588476,0.114384086
0.578059072,0.461139896,0.442307692,0.525,0.315068493,0.149166423,0.713083397
0.666666667,0.549222798,0.523076923,0.6,0.109589041,0.476747587,0.035960214
0.080168776,0.0,0.934615385,0.25,0.452054795,0.918397192,0.21958684
0.012658228,0.663212435,0.630769231,0.2875,0.520547945,0.476747587,0.514154552
0.64978903,0.544041451,0.0,0.5625,0.109589041,0.441649605,0.598316756
0.703797468,0.001036269,0.922307692,0.955,0.267123288,0.210880374,0.285768936
0.70464135,0.0,0.538461538,0.675,0.109589041,0.546943551,0.311400153
0.021097046,0.67357513,0.642307692,0.6875,0.109589041,0.078970459,0.747513389
0.924050633,0.735751295,0.0,0.4125,0.452054795,0.272009359,0.525631217
0.708860759,0.518134715,0.0,0.45,0.383561644,0.734132787,0.246365723
0.0,0.865284974,0.823076923,0.825,0.109589041,0.0,0.445294568
0.893248945,0.000518135,0.858076923,0.60625,0.356164384,0.228721848,0.449502678
0.012658228,0.663212435,0.630769231,0.9625,0.109589041,0.470897923,0.058913542
0.092827004,0.0,0.953846154,0.1875,0.520547945,0.973968997,0.16220352
0.721518987,0.575129534,0.546153846,0.7125,0.383561644,0.219362387,0.173680184
0.097046414,0.756476684,0.723076923,0.5375,0.452054795,0.35390465,0.265493497
0.012658228,0.007253886,0.761923077,0.18625,0.0,1.0,0.535195103
0.637130802,0.0,0.465384615,0.2125,0.178082192,0.584966364,0.720734507
0.33164557,0.584974093,0.919230769,0.48375,0.205479452,0.514770401,0.032517215
0.679324895,0.554404145,0.0,0.325,0.109589041,0.500146242,0.667176741
0.64978903,0.538860104,0.0,0.8875,0.315068493,0.435799942,0.322876817
0.46835443,0.523316062,0.922692308,0.11375,0.226027397,0.707516818,0.013389441
0.063291139,0.0,0.911538462,0.55,0.109589041,0.22521205,0.961744453
0.864978903,0.704663212,0.0,0.8125,0.452054795,0.181339573,0.407039021
0.582278481,0.512953368,0.488461538,0.3,0.589041096,0.298332846,0.571537873
0.717299578,0.569948187,0.0,0.3625,0.383561644,0.573267037,0.475899005
0.58649789,0.466321244,0.446153846,0.25,0.315068493,0.473822755,0.487375669
0.025316456,0.678756477,0.646153846,0.7125,0.109589041,0.535244223,0.120122418
0.092827004,1.0,0.0,0.6,0.520547945,0.330505996,0.678653405
0.013080169,0.021761658,0.830384615,0.42375,0.020547945,0.998830067,0.265876052
0.675527426,0.211917098,0.922692308,0.425,0.212328767,0.587598713,0.042846213
0.742616034,0.642487047,0.0,0.5625,0.452054795,0.403626791,0.449120122
