Cemment,Slag,Fly_ash,Water,SP,Coarse_Aggr,Fine_Aggr
0.241772152,0.001554404,0.923076923,0.9275,0.308219178,0.21234279,0.653022188
0.780590717,0.601036269,0.0,0.45,0.383561644,0.3217315,0.659525631
0.703797468,0.001036269,0.922307692,0.955,0.267123288,0.210880374,0.285768936
0.01350211,0.158031088,0.919230769,0.1175,0.061643836,0.937116116,0.390589135
0.729957806,0.0,0.55,0.725,0.383561644,0.231061714,0.625095639
0.894514768,0.0,0.684615385,0.875,0.109589041,0.22521205,0.307574598
0.046413502,0.932642487,0.0,0.2875,0.452054795,0.772155601,0.445294568
0.056118143,0.577202073,0.918461538,0.09125,0.143835616,0.852588476,0.114384086
0.915611814,0.0,0.0,0.925,0.109589041,0.734132787,0.192807957
0.603375527,0.476683938,0.453846154,0.5875,0.315068493,0.511845569,0.146901301
0.0,0.865284974,0.823076923,0.825,0.109589041,0.0,0.445294568
0.772151899,0.0,0.626923077,0.35,0.315068493,0.462123428,0.517980107
0.119409283,0.741968912,0.916538462,0.505,0.184931507,0.512430535,0.045906656
0.01350211,0.232124352,0.903461538,0.14125,0.075342466,0.993272887,0.242540168
0.82278481,0.0,0.653846154,0.0,0.109589041,0.56156771,0.632746748
0.071729958,0.730569948,0.696153846,0.925,0.452054795,0.260310032,0.16220352
0.021097046,0.67357513,0.642307692,0.6875,0.109589041,0.078970459,0.747513389
