day_of_yr,season,yr_since_2011,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
124,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996
297,4,1,10,0,2,1,1,0.544167,0.530304,0.641667,0.0945458
259,3,1,9,0,6,0,1,0.608333,0.585867,0.501667,0.247521
220,3,0,8,0,1,1,1,0.765,0.703283,0.592083,0.192175
110,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925
310,4,0,11,0,0,0,1,0.348333,0.362358,0.734583,0.0920542
156,2,1,6,0,1,1,1,0.5975,0.578283,0.487083,0.284833
334,4,0,11,0,3,1,1,0.325,0.311221,0.613333,0.271158
56,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539
123,2,1,5,0,3,1,1,0.564167,0.537896,0.797083,0.138058
136,2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871
61,1,1,3,0,4,1,1,0.485833,0.475371,0.615417,0.226987
70,1,1,3,0,6,0,1,0.2875,0.277767,0.350417,0.22575
1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446
19,1,1,1,0,4,1,1,0.19,0.190038,0.4975,0.220158
88,2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996
147,2,1,5,0,6,0,1,0.6925,0.642696,0.7325,0.198992
131,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642
276,4,1,10,0,2,1,3,0.590833,0.542333,0.871667,0.104475
138,2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492
271,4,0,9,0,3,1,2,0.635,0.575158,0.84875,0.148629
299,4,1,10,0,4,1,2,0.55,0.529688,0.800417,0.124375
337,4,1,12,0,0,0,2,0.3475,0.359208,0.823333,0.124379
216,3,1,8,0,5,1,2,0.765833,0.722867,0.6425,0.215792
109,2,1,4,0,3,1,2,0.463333,0.457038,0.569167,0.167912
306,4,0,11,0,3,1,1,0.3775,0.390133,0.71875,0.0820917
179,3,1,6,0,3,1,1,0.6975,0.640792,0.36,0.271775
33,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308
244,3,0,9,0,4,1,1,0.655,0.614921,0.639167,0.141796
16,1,1,1,1,1,0,1,0.19,0.190663,0.5225,0.231358
312,4,0,11,0,2,1,1,0.408333,0.412246,0.721667,0.0690375
293,4,0,10,0,4,1,1,0.475833,0.466525,0.63625,0.422275
174,3,0,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804
36,1,1,2,0,0,0,2,0.265833,0.264521,0.687917,0.175996
341,4,1,12,0,4,1,1,0.255833,0.258204,0.50875,0.174754
78,1,1,3,0,0,0,2,0.4725,0.464,0.81,0.126883
284,4,0,10,0,2,1,2,0.566667,0.546096,0.80875,0.143042
190,3,1,7,0,0,0,1,0.8225,0.790396,0.57375,0.125629
258,3,0,9,0,4,1,2,0.5775,0.553671,0.709167,0.271146
221,3,0,8,0,2,1,1,0.775,0.724121,0.570417,0.151121
56,1,1,2,0,6,0,1,0.290833,0.255675,0.395833,0.421642
134,2,1,5,0,0,0,1,0.6125,0.585238,0.57625,0.225117
181,3,0,6,0,4,1,1,0.696667,0.637008,0.434167,0.185312
295,4,1,10,0,0,0,1,0.464167,0.456429,0.51,0.166054
354,4,1,12,0,3,1,1,0.3325,0.342162,0.625417,0.184092
144,2,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092
22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197
95,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067
356,1,1,12,0,5,1,2,0.326667,0.301767,0.556667,0.374383
337,4,0,12,0,6,0,1,0.299167,0.310604,0.612917,0.0957833
33,1,1,2,0,4,1,2,0.399167,0.398971,0.672917,0.187187
327,4,1,11,1,4,0,1,0.34,0.350371,0.580417,0.0528708
363,1,1,12,0,5,1,2,0.253333,0.255046,0.59,0.155471
252,3,0,9,0,5,1,2,0.65,0.578946,0.897917,0.124379
205,3,0,7,0,0,0,1,0.83,0.794829,0.550833,0.169171
11,1,1,1,0,3,1,2,0.274167,0.282821,0.8475,0.131221
24,1,1,1,0,2,1,1,0.3425,0.349108,0.835833,0.123767
32,1,1,2,0,3,1,1,0.469167,0.466538,0.507917,0.189067
114,2,1,4,0,1,1,2,0.321667,0.301125,0.766667,0.303496
112,2,1,4,0,6,0,1,0.57,0.542921,0.682917,0.283587
226,3,0,8,0,0,0,2,0.676667,0.624388,0.8175,0.222633
143,2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842
85,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571
66,1,1,3,0,2,1,1,0.258333,0.255042,0.456667,0.200875
68,1,1,3,0,4,1,1,0.5275,0.524604,0.5675,0.441563
80,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783
358,1,1,12,0,0,0,1,0.245833,0.259471,0.515417,0.133083
163,2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567
210,3,1,7,0,6,0,1,0.755833,0.697604,0.613333,0.15735
162,2,1,6,0,0,0,1,0.726667,0.663517,0.538333,0.133721
97,2,1,4,0,5,1,1,0.403333,0.390767,0.377083,0.300388
130,2,1,5,0,3,1,2,0.575,0.553025,0.744167,0.216412
356,1,0,12,0,4,1,2,0.423333,0.426121,0.7575,0.047275
351,4,0,12,0,6,0,2,0.258333,0.249371,0.560833,0.243167
225,3,1,8,0,0,0,1,0.700833,0.644579,0.530417,0.122512
271,4,1,9,0,4,1,2,0.65,0.607975,0.690833,0.134342
178,3,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588
13,1,1,1,0,5,1,1,0.274167,0.249362,0.5075,0.378108
9,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195
183,3,1,7,0,0,0,1,0.815833,0.750629,0.51875,0.168529
231,3,0,8,0,5,1,2,0.685,0.633221,0.722917,0.139308
305,4,1,10,0,3,1,2,0.3575,0.3611,0.666667,0.166667
325,4,0,11,0,1,1,3,0.4475,0.445062,0.91,0.138054
344,4,1,12,0,0,0,2,0.384167,0.390146,0.905417,0.157975
159,2,1,6,0,4,1,1,0.6025,0.569442,0.567083,0.15735
44,1,1,2,0,1,1,1,0.2225,0.227913,0.41125,0.167283
201,3,0,7,0,3,1,1,0.768333,0.74685,0.707083,0.113817
208,3,1,7,0,4,1,1,0.776667,0.739263,0.596667,0.284813
240,3,0,8,0,0,0,1,0.707059,0.647959,0.561765,0.304659
129,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176
125,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392
24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833
197,3,0,7,0,6,0,1,0.686667,0.638263,0.585,0.208342
66,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352
38,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083
86,2,1,3,0,1,1,1,0.445833,0.43875,0.477917,0.386821
59,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686
128,2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375
137,2,1,5,0,3,1,1,0.636667,0.595975,0.697917,0.122512
6,1,1,1,0,5,1,1,0.334167,0.340267,0.542083,0.167908
102,2,1,4,0,3,1,1,0.348696,0.337274,0.469565,0.295274
178,3,1,6,0,2,1,1,0.630833,0.594704,0.373333,0.347642
69,1,0,3,0,4,1,3,0.389091,0.385668,0.0,0.261877
185,3,0,7,1,1,0,2,0.726667,0.665417,0.637917,0.0814792
75,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117
250,3,0,9,0,3,1,3,0.599167,0.544229,0.917083,0.0970208
302,4,0,10,0,6,0,3,0.254167,0.227913,0.8825,0.351371
113,2,1,4,0,0,0,3,0.396667,0.389504,0.835417,0.344546
364,1,1,12,0,6,0,2,0.253333,0.2424,0.752917,0.124383
288,4,1,10,0,0,0,1,0.521667,0.508204,0.640417,0.278612
8,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804
329,4,0,11,0,5,1,1,0.375,0.380671,0.64375,0.0988958
10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267
254,3,1,9,0,1,1,1,0.583333,0.565654,0.50375,0.258713
142,2,1,5,0,1,1,2,0.598333,0.565667,0.81125,0.233204
347,4,0,12,0,2,1,1,0.2825,0.301138,0.59,0.14055
266,4,0,9,0,5,1,2,0.609167,0.522125,0.9725,0.0783667
223,3,1,8,0,5,1,2,0.715833,0.667942,0.715833,0.238813
313,4,0,11,0,3,1,1,0.4,0.409079,0.758333,0.0621958
213,3,1,7,0,2,1,1,0.713333,0.662896,0.704167,0.165425
215,3,0,8,0,3,1,2,0.731667,0.679937,0.6575,0.135583
48,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104
359,1,1,12,0,1,1,2,0.231304,0.2589,0.791304,0.0772304
151,2,1,5,0,3,1,2,0.656667,0.611129,0.67,0.134329
45,1,1,2,0,2,1,2,0.319167,0.333946,0.50875,0.141179
309,4,1,11,0,0,0,1,0.325833,0.329538,0.532917,0.179108
131,2,1,5,0,4,1,1,0.505833,0.491783,0.552083,0.314063
9,1,1,1,0,1,1,2,0.224167,0.247479,0.701667,0.0989
340,4,1,12,0,3,1,1,0.438333,0.428012,0.485,0.324021
241,3,1,8,0,2,1,1,0.728333,0.66605,0.62,0.190925
210,3,0,7,0,5,1,1,0.838333,0.785967,0.5425,0.174138
160,2,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883
198,3,0,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033
73,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926
7,1,1,1,0,6,0,1,0.393333,0.390779,0.531667,0.174758
321,4,1,11,0,5,1,1,0.345,0.347204,0.524583,0.171025
204,3,0,7,0,6,0,1,0.849167,0.804287,0.5,0.131221
61,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833
360,1,1,12,1,2,0,2,0.291304,0.294465,0.734783,0.168726
278,4,0,10,0,3,1,1,0.538333,0.527138,0.647917,0.17725
92,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146
6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652
329,4,1,11,0,6,0,1,0.278333,0.248742,0.404583,0.376871
196,3,1,7,0,6,0,2,0.703333,0.666042,0.699167,0.143679
224,3,1,8,0,6,0,2,0.6925,0.638267,0.732917,0.206479
64,1,1,3,0,0,0,1,0.325833,0.303021,0.403333,0.334571
7,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726
182,3,0,7,0,5,1,1,0.7225,0.652162,0.39625,0.102608
79,1,1,3,0,1,1,1,0.545,0.532821,0.72875,0.162317
175,3,0,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025
23,1,1,1,0,1,1,2,0.218333,0.243058,0.91125,0.110708
253,3,1,9,0,0,0,1,0.61,0.578925,0.5475,0.224496
28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233
344,4,0,12,0,6,0,1,0.275,0.266412,0.5075,0.233221
189,3,1,7,0,6,0,1,0.861667,0.804913,0.492083,0.163554
353,4,0,12,0,1,1,1,0.276667,0.280933,0.6375,0.172896
279,4,0,10,0,4,1,1,0.494167,0.480425,0.620833,0.134954
298,4,1,10,0,3,1,1,0.5875,0.558721,0.63625,0.0727792
156,2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692
100,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767
148,2,1,5,0,0,0,1,0.69,0.641425,0.697083,0.215171
47,1,1,2,0,4,1,2,0.316667,0.330162,0.752917,0.091425
345,4,1,12,0,1,1,2,0.435833,0.435575,0.925,0.190308
339,4,1,12,0,2,1,1,0.475833,0.469054,0.73375,0.174129
206,3,0,7,0,1,1,1,0.743333,0.720958,0.757083,0.0908083
350,4,1,12,0,6,0,1,0.324167,0.338383,0.650417,0.10635
301,4,0,10,0,5,1,2,0.330833,0.318812,0.585833,0.229479
101,2,1,4,0,2,1,1,0.446667,0.436233,0.435,0.249375
59,1,1,2,0,2,1,1,0.359167,0.353525,0.395833,0.193417
251,3,0,9,0,4,1,3,0.633913,0.555361,0.939565,0.192748
247,3,0,9,0,0,0,1,0.709167,0.665429,0.742083,0.206467
149,2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938
127,2,1,5,0,0,0,2,0.5625,0.546737,0.74,0.149879
209,3,1,7,0,5,1,1,0.781667,0.734217,0.594583,0.152992
211,3,0,7,0,6,0,1,0.804167,0.728537,0.465833,0.168537
135,2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979
173,3,1,6,0,4,1,1,0.805833,0.752542,0.567917,0.118787
78,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167
134,2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495
55,1,1,2,0,5,1,2,0.4075,0.410971,0.7375,0.237567
326,4,1,11,0,3,1,1,0.353333,0.364892,0.61375,0.103246
278,4,1,10,0,4,1,2,0.6575,0.607975,0.722917,0.117546
290,4,1,10,0,2,1,1,0.468333,0.460846,0.558333,0.182221
119,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063
90,2,1,3,0,5,1,2,0.37,0.375621,0.580833,0.138067
160,2,1,6,0,5,1,1,0.649167,0.597862,0.467917,0.175383
117,2,1,4,0,4,1,2,0.498333,0.483583,0.756667,0.176625
140,2,1,5,0,6,0,1,0.6,0.566908,0.45625,0.083975
256,3,0,9,0,2,1,1,0.650833,0.603554,0.7125,0.141804
186,3,0,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258
193,3,0,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254
49,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925
301,4,1,10,0,6,0,2,0.53,0.515133,0.72,0.235692
107,2,1,4,1,1,0,1,0.664167,0.614925,0.561667,0.284829
316,4,0,11,0,6,0,1,0.356667,0.357942,0.552917,0.212062
75,1,1,3,0,4,1,1,0.5575,0.532825,0.579583,0.149883
86,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843
4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296
280,4,0,10,0,5,1,1,0.510833,0.504404,0.684167,0.0223917
319,4,1,11,0,3,1,1,0.289167,0.281563,0.552083,0.199625
187,3,0,7,0,3,1,1,0.72,0.685633,0.743333,0.149883
362,1,0,12,0,3,1,1,0.29913,0.279974,0.503913,0.293961
304,4,0,10,0,1,1,1,0.34,0.356063,0.703333,0.10635
218,3,1,8,0,0,0,1,0.769167,0.731079,0.6525,0.290421
214,3,1,8,0,3,1,1,0.7175,0.667308,0.6775,0.141179
145,2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233
54,1,1,2,0,4,1,1,0.454167,0.444446,0.554583,0.190913
286,4,1,10,0,5,1,1,0.4375,0.433071,0.539167,0.235092
343,4,1,12,0,6,0,2,0.381667,0.389508,0.91125,0.101379
227,3,0,8,0,1,1,1,0.665833,0.616167,0.712083,0.208954
281,4,1,10,0,0,0,2,0.415833,0.419813,0.708333,0.141162
216,3,0,8,0,4,1,2,0.71,0.664788,0.7575,0.19715
122,2,1,5,0,2,1,2,0.613333,0.577021,0.659583,0.156096
247,3,1,9,1,1,0,1,0.7075,0.661629,0.790833,0.151121
133,2,1,5,0,6,0,1,0.564167,0.544817,0.480417,0.123133
120,2,1,4,0,0,0,1,0.458333,0.450121,0.587083,0.116908
176,3,0,6,0,6,0,1,0.695,0.643313,0.483333,0.209571
228,3,1,8,0,3,1,1,0.706667,0.654037,0.619583,0.169771
317,4,0,11,0,0,0,1,0.440833,0.43055,0.458333,0.281721
119,2,1,4,0,6,0,2,0.376667,0.377504,0.489583,0.129975
73,1,1,3,0,2,1,1,0.565,0.542929,0.6175,0.23695
283,4,1,10,0,2,1,2,0.446667,0.438112,0.761667,0.1903
236,3,1,8,0,4,1,1,0.695833,0.637008,0.635833,0.0845958
318,4,0,11,0,1,1,1,0.53,0.524612,0.587083,0.306596
294,4,0,10,0,5,1,1,0.4275,0.423596,0.574167,0.221396
173,3,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262
42,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855
109,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971
363,1,0,12,0,4,1,1,0.248333,0.263892,0.574167,0.119412
54,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113
72,1,1,3,0,1,1,1,0.466667,0.459592,0.489167,0.207713
58,1,1,2,0,1,1,1,0.366667,0.357954,0.490833,0.268033
76,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579
257,3,0,9,0,3,1,1,0.673333,0.6269,0.697083,0.1673
104,2,1,4,0,5,1,1,0.4425,0.431808,0.408333,0.155471
334,4,1,11,0,4,1,1,0.28087,0.298422,0.555652,0.115522
263,3,1,9,0,3,1,1,0.5525,0.540404,0.536667,0.215175
125,2,1,5,0,5,1,1,0.6275,0.590917,0.735417,0.162938
277,4,0,10,0,2,1,1,0.484167,0.472858,0.71,0.205854
10,1,1,1,0,2,1,1,0.308696,0.318826,0.646522,0.187552
5,1,1,1,0,4,1,1,0.265833,0.278412,0.524167,0.129987
91,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708
3,1,1,1,0,2,1,1,0.15,0.126275,0.44125,0.365671
44,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883
300,4,1,10,0,5,1,2,0.545833,0.52275,0.807083,0.132467
37,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418
248,3,1,9,0,2,1,1,0.725833,0.686888,0.755,0.236321
222,3,1,8,0,4,1,1,0.755833,0.699508,0.620417,0.1561
229,3,1,8,0,4,1,1,0.719167,0.654688,0.519167,0.141796
21,1,1,1,0,6,0,2,0.173333,0.174875,0.83125,0.222642
330,4,1,11,0,0,0,1,0.245833,0.257583,0.468333,0.1505
276,4,0,10,0,1,1,2,0.384167,0.392046,0.760833,0.0833458
35,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839
211,3,1,7,0,0,0,1,0.721667,0.667933,0.62375,0.170396
135,2,1,5,0,1,1,2,0.573333,0.5499,0.789583,0.212692
202,3,0,7,0,4,1,2,0.815,0.826371,0.69125,0.222021
212,3,1,7,0,1,1,1,0.730833,0.684987,0.66875,0.153617
226,3,1,8,0,1,1,1,0.720833,0.662254,0.545417,0.136212
179,3,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283
270,4,0,9,0,2,1,2,0.636667,0.574525,0.885417,0.118171
133,2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725
231,3,1,8,0,6,0,1,0.678333,0.618071,0.603333,0.177867
227,3,1,8,0,2,1,1,0.726667,0.676779,0.686667,0.169158
233,3,1,8,0,1,1,2,0.635833,0.595967,0.734167,0.129979
273,4,0,9,0,5,1,1,0.564167,0.544829,0.6475,0.206475
284,4,1,10,0,3,1,1,0.514167,0.503142,0.630833,0.187821
245,3,0,9,0,5,1,2,0.643333,0.604808,0.727083,0.139929
272,4,0,9,0,4,1,1,0.616667,0.574512,0.699167,0.172883
306,4,1,11,0,4,1,2,0.365833,0.369942,0.581667,0.157346
262,3,0,9,0,1,1,2,0.549167,0.529675,0.69,0.151742
296,4,0,10,0,0,0,1,0.421667,0.422333,0.74125,0.0995125
322,4,0,11,0,5,1,1,0.274167,0.272721,0.41,0.168533
83,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787
31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192
108,2,1,4,0,2,1,1,0.608333,0.598487,0.390417,0.273629
274,4,0,10,0,6,0,2,0.41,0.412863,0.75375,0.292296
8,1,1,1,0,0,0,1,0.3375,0.340258,0.465,0.191542
163,2,1,6,0,1,1,2,0.720833,0.659721,0.587917,0.207713
282,4,0,10,0,0,0,1,0.540833,0.523983,0.7275,0.06345
168,2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029
67,1,1,3,0,3,1,1,0.404167,0.3851,0.513333,0.345779
142,2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008
214,3,0,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585
333,4,0,11,0,2,1,2,0.458333,0.451375,0.830833,0.258092
265,3,0,9,0,4,1,2,0.628333,0.554963,0.902083,0.128125
50,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463
340,4,0,12,0,2,1,3,0.4625,0.4564,0.949583,0.232583
242,3,1,8,0,3,1,1,0.685,0.635733,0.552083,0.112562
98,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992
171,2,1,6,0,2,1,1,0.688333,0.654692,0.69,0.148017
174,3,1,6,0,5,1,1,0.7775,0.724121,0.57375,0.182842
42,1,1,2,0,6,0,3,0.224167,0.210867,0.73125,0.289796
16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433
360,1,0,12,1,1,0,1,0.321739,0.315535,0.506957,0.239465
40,1,1,2,0,4,1,1,0.265,0.261988,0.562083,0.194037
157,2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896
314,4,0,11,0,4,1,2,0.38,0.373721,0.813333,0.189067
287,4,0,10,0,5,1,2,0.550833,0.529675,0.71625,0.223883
146,2,1,5,0,5,1,1,0.68,0.627529,0.747083,0.14055
232,3,1,8,0,0,0,2,0.635833,0.603554,0.711667,0.08645
207,3,0,7,0,2,1,1,0.771667,0.696979,0.540833,0.200258
102,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879
152,2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092
99,2,1,4,0,0,0,1,0.5,0.492425,0.275833,0.232596
180,3,1,6,0,4,1,1,0.749167,0.675512,0.4225,0.17165
32,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213
141,2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065
191,3,0,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471
141,2,1,5,0,0,0,1,0.620833,0.583967,0.530417,0.254367
195,3,0,7,0,4,1,1,0.680833,0.635104,0.47625,0.240667
20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904
217,3,1,8,0,6,0,1,0.793333,0.751267,0.613333,0.257458
46,1,1,2,0,3,1,1,0.348333,0.351629,0.53125,0.1816
140,2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013
266,3,1,9,0,6,0,1,0.65,0.610488,0.646667,0.283583
234,3,1,8,0,2,1,1,0.649167,0.601025,0.67375,0.0727708
180,3,0,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821
300,4,0,10,0,4,1,2,0.47,0.457046,0.812917,0.197763
324,4,0,11,0,0,0,2,0.463333,0.457058,0.684583,0.18595
71,1,1,3,0,0,0,1,0.361739,0.35967,0.476957,0.222587
243,3,1,8,0,4,1,1,0.706667,0.652779,0.590417,0.0771167
31,1,1,1,0,2,1,1,0.39,0.381317,0.416667,0.261817
37,1,1,2,0,1,1,1,0.282609,0.296426,0.622174,0.1538
293,4,1,10,0,5,1,2,0.563333,0.537896,0.815,0.134954
311,4,0,11,0,1,1,1,0.395,0.400871,0.75875,0.057225
193,3,1,7,0,3,1,1,0.716667,0.650271,0.633333,0.151733
138,2,1,5,0,4,1,1,0.593333,0.572613,0.52,0.229475
202,3,1,7,0,5,1,2,0.665833,0.613025,0.844167,0.208967
285,4,1,10,0,4,1,1,0.435,0.431167,0.463333,0.181596
23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466
43,1,1,2,0,0,0,1,0.1275,0.101658,0.464583,0.409212
4,1,1,1,0,3,1,2,0.1075,0.119337,0.414583,0.1847
279,4,1,10,0,5,1,1,0.615,0.580187,0.6275,0.10635
335,4,0,12,0,4,1,1,0.3125,0.305554,0.524583,0.220158
87,2,1,3,0,2,1,1,0.323333,0.315654,0.29,0.187192
285,4,0,10,0,3,1,3,0.543333,0.517717,0.90625,0.24815
120,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075
5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869
230,3,1,8,0,5,1,1,0.723333,0.2424,0.570833,0.231354
162,2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485
352,4,0,12,0,0,0,1,0.238333,0.245579,0.58625,0.169779
359,1,0,12,0,0,0,1,0.274783,0.279961,0.681304,0.155091
96,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063
186,3,1,7,1,3,0,1,0.789167,0.732337,0.53875,0.13495
238,3,0,8,0,5,1,1,0.7,0.659733,0.76125,0.0839625
96,2,1,4,0,4,1,1,0.435,0.431163,0.374167,0.219529
315,4,1,11,0,6,0,1,0.389167,0.393937,0.645417,0.0578458
349,4,1,12,0,5,1,1,0.281667,0.294192,0.642917,0.131229
343,4,0,12,0,5,1,1,0.290833,0.317542,0.695833,0.0827167
2,1,1,1,1,1,0,1,0.273043,0.252304,0.381304,0.329665
351,4,1,12,0,0,0,2,0.3625,0.369938,0.83875,0.100742
236,3,0,8,0,3,1,1,0.673333,0.630692,0.605,0.253108
41,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935
99,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083
18,1,1,1,0,3,1,1,0.303333,0.275254,0.443333,0.415429
321,4,0,11,0,4,1,2,0.341667,0.323221,0.575833,0.305362
13,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301
84,2,1,3,0,6,0,2,0.5025,0.486733,0.885417,0.192783
273,4,1,9,0,6,0,1,0.5425,0.530296,0.542917,0.227604
105,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375
332,4,0,11,0,1,1,1,0.503478,0.490122,0.743043,0.142122
