symbolying,is_diesel,is_turbo,num_doors,engine_1,wheel_base,length,width,height,curb_weight,num_cylinders,engine_size,bore,stroke,compression_ratio,hp,peak_rpm,city_mpg,highway_mpg,Brand_alfa-romeo,Brand_audi,Brand_bmw,Brand_chevrolet,Brand_dodge,Brand_honda,Brand_isuzu,Brand_jaguar,Brand_mazda,Brand_mercedes-benz,Brand_mercury,Brand_mitsubishi,Brand_nissan,Brand_peugot,Brand_plymouth,Brand_porsche,Brand_renault,Brand_saab,Brand_subaru,Brand_toyota,Brand_volkswagen,Brand_volvo,body_style_convertible,body_style_hardtop,body_style_hatchback,body_style_sedan,body_style_wagon,drive_wheels_4wd,drive_wheels_fwd,drive_wheels_rwd,engine_type_dohc,engine_type_l,engine_type_ohc,engine_type_ohcf,engine_type_ohcv,engine_type_rotor,fuel_system_1bbl,fuel_system_2bbl,fuel_system_4bbl,fuel_system_idi,fuel_system_mfi,fuel_system_mpfi,fuel_system_spdi,fuel_system_spfi
0,0,0,4.0,1,95.7,169.7,63.6,59.1,2290,4,92,3.05,3.03,9.0,62.0,4800.0,27,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,0,4.0,1,93.7,157.3,63.8,50.6,1989,4,90,2.97,3.23,9.4,68.0,5500.0,31,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
-1,0,1,4.0,1,104.3,188.8,67.2,57.5,3157,4,130,3.62,3.15,7.5,162.0,5100.0,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,2.0,1,96.5,167.5,65.2,53.3,2289,4,110,3.15,3.58,9.0,86.0,5800.0,27,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,0,0,4.0,1,93.7,167.3,63.8,50.8,2191,4,98,2.97,3.23,9.4,68.0,5500.0,31,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,0,2.0,1,94.5,165.6,63.8,53.3,2028,4,97,3.15,3.29,9.4,69.0,5200.0,31,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2,0,0,2.0,1,93.7,156.9,63.4,53.7,2050,4,97,3.62,2.36,9.0,69.0,4900.0,31,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2,0,0,4.0,1,99.4,176.6,66.4,54.3,2824,5,136,3.19,3.4,8.0,115.0,5500.0,18,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,4.0,1,97.2,172.0,65.4,52.5,2340,4,108,3.62,2.64,9.0,94.0,5200.0,26,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,1,1,4.0,1,107.9,186.7,68.4,56.7,3197,4,152,3.7,3.52,21.0,95.0,4150.0,28,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,2.0,1,98.8,177.8,66.5,53.7,2385,4,122,3.39,3.39,8.6,84.0,4800.0,26,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,0,4.0,1,94.5,170.2,63.8,53.5,2024,4,97,3.15,3.29,9.4,69.0,5200.0,31,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,0,0,4.0,1,103.5,189.0,66.9,55.7,3230,6,209,3.62,3.39,8.0,182.0,5400.0,16,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3,0,0,2.0,1,102.9,183.5,67.7,52.0,2976,6,171,3.27,3.35,9.3,161.0,5200.0,20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
-2,0,0,4.0,1,104.3,188.8,67.2,56.2,2912,4,141,3.78,3.15,9.5,114.0,5400.0,23,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3,0,1,2.0,1,95.9,173.2,66.3,50.2,2818,4,156,3.59,3.86,7.0,145.0,5000.0,19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,0,1,4.0,1,108.0,186.7,68.3,56.0,3130,4,134,3.61,3.21,7.0,142.0,5600.0,18,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,2.0,1,97.3,171.7,65.5,55.7,2209,4,109,3.19,3.4,9.0,85.0,5250.0,27,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,4.0,1,95.7,166.3,64.4,52.8,2122,4,98,3.19,3.03,9.0,70.0,4800.0,28,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,1,0,4.0,1,95.7,166.3,64.4,53.0,2275,4,110,3.27,3.35,22.5,56.0,4500.0,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,1,1,2.0,1,106.7,187.5,70.3,54.9,3495,5,183,3.58,3.64,21.5,123.0,4350.0,22,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2,0,0,2.0,1,96.1,176.8,66.6,50.5,2460,4,132,3.46,3.9,8.7,113.3545837,5172.869475,23,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
-1,0,0,4.0,1,104.5,187.8,66.5,54.1,3131,6,171,3.27,3.35,9.2,156.0,5200.0,20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,4.0,1,96.3,172.4,65.4,51.6,2365,4,122,3.35,3.46,8.5,88.0,5000.0,25,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2,0,1,4.0,1,99.1,186.6,66.5,56.1,2847,4,121,3.54,3.07,9.0,160.0,5500.0,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,4.0,1,97.2,172.0,65.4,52.5,2145,4,108,3.62,2.64,9.5,82.0,4800.0,32,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,0,0,2.0,1,94.5,165.3,63.8,54.5,1918,4,97,3.15,3.29,9.4,69.0,5200.0,31,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
-1,1,1,4.0,1,110.0,190.9,70.3,58.7,3750,5,183,3.58,3.64,21.5,123.0,4350.0,22,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,1,0,4.0,1,104.9,175.0,66.1,54.4,2700,4,134,3.43,3.64,22.0,72.0,4200.0,31,39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,0,0,2.0,1,94.5,155.9,63.6,52.0,1874,4,90,3.03,3.11,9.6,70.0,5400.0,38,43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,0,2.0,1,95.7,158.7,63.6,54.5,2040,4,92,3.05,3.03,9.0,62.0,4800.0,31,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2,0,0,2.0,1,86.6,144.6,63.9,50.8,1819,4,92,2.91,3.41,9.2,76.0,6000.0,31,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,0,0,2.0,1,94.5,168.7,64.0,52.6,2204,4,98,3.19,3.03,9.0,70.0,4800.0,29,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
-1,0,0,4.0,1,103.3,174.6,64.6,59.8,2535,4,122,3.34,3.46,8.5,88.0,5000.0,24,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,0,2.0,1,93.7,157.3,63.8,50.8,1876,4,90,2.97,3.23,9.4,68.0,5500.0,31,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,0,0,4.0,1,100.4,184.6,66.5,55.1,3060,6,181,3.43,3.27,9.0,152.0,5200.0,19,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
-1,0,0,4.0,1,115.6,202.6,71.7,56.5,3740,8,234,3.46,3.1,8.3,155.0,4750.0,16,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,4.0,1,100.4,181.7,66.5,55.1,3095,6,181,3.43,3.27,9.0,152.0,5200.0,17,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2,0,0,2.0,1,99.8,177.3,66.3,53.1,2507,5,136,3.19,3.4,8.5,110.0,5500.0,19,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
-1,0,1,4.0,1,109.1,188.8,68.9,55.5,3062,4,141,3.78,3.15,9.5,114.0,5400.0,19,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,0,4.0,1,93.7,167.3,63.8,50.8,1989,4,90,2.97,3.23,9.4,68.0,5500.0,31,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,1,4.0,1,105.8,192.7,71.4,55.9,3086,5,131,3.13,3.4,8.3,140.0,5500.0,17,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,0,2.0,1,94.5,165.3,63.8,54.5,2017,4,103,2.99,3.47,21.9,55.0,4800.0,45,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,0,0,4.0,1,97.2,173.4,65.2,54.7,2302,4,120,3.33,3.47,8.5,97.0,5200.0,27,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,0,0,4.0,1,114.2,198.9,68.4,58.7,3230,4,120,3.46,3.19,8.4,97.0,5000.0,19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,4.0,1,97.3,171.7,65.5,55.7,2300,4,109,3.19,3.4,10.0,100.0,5500.0,26,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,0,0,2.0,1,88.4,141.1,60.3,53.2,1488,3,61,2.91,3.03,9.5,48.0,5100.0,47,53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,4.0,1,95.7,166.3,64.4,52.8,2109,4,98,3.19,3.03,9.0,70.0,4800.0,30,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
-1,0,0,4.0,1,102.4,175.6,66.5,54.9,2326,4,122,3.31,3.54,8.7,92.0,4200.0,29,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,4.0,1,94.5,158.8,63.6,52.0,1909,4,90,3.03,3.11,9.6,70.0,5400.0,38,43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,1,0,4.0,1,95.7,166.3,64.4,52.8,2275,4,110,3.27,3.35,22.5,56.0,4500.0,38,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,0,1,2.0,1,93.7,157.3,63.8,50.8,2128,4,98,3.03,3.39,7.6,102.0,5500.0,24,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
-1,1,1,4.0,1,102.4,175.6,66.5,54.9,2480,4,110,3.27,3.35,22.5,73.0,4500.0,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,1,0,3.857580882,1,98.8,177.8,66.5,55.5,2443,4,122,3.39,3.39,22.7,64.0,4650.0,36,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,0,0,4.0,1,110.0,197.0,70.9,56.3,3505,6,209,3.62,3.39,8.0,182.0,5400.0,15,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3,0,0,2.0,1,99.1,186.6,66.5,56.1,2658,4,121,3.54,3.07,9.31,110.0,5250.0,21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,4.0,1,113.0,199.6,69.6,52.8,4066,6,258,3.63,4.17,8.1,176.0,4750.0,15,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,2.0,1,93.7,157.3,64.4,50.8,2004,4,92,2.97,3.23,9.4,68.0,5500.0,31,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
3,0,0,2.0,1,95.3,169.0,65.7,49.6,2385,2,70,3.504159102,2.965102693,9.4,101.0,6000.0,17,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
-1,0,0,4.0,1,104.3,188.8,67.2,57.5,3042,4,141,3.78,3.15,9.5,114.0,5400.0,24,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,0,4.0,1,96.3,172.4,65.4,51.6,2405,4,122,3.35,3.46,8.5,88.0,5000.0,25,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2,0,0,4.0,1,99.8,176.6,66.2,54.3,2337,4,109,3.19,3.4,10.0,102.0,5500.0,24,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,0,2.0,1,94.5,168.7,64.0,52.6,2300,4,98,3.24,3.08,9.4,112.0,6600.0,26,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,1,4.0,1,97.3,171.7,65.5,55.7,2319,4,97,3.01,3.4,23.0,68.0,4500.0,37,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
3,0,0,2.0,1,95.3,169.0,65.7,49.6,2500,2,80,3.615554398,3.014066735,9.4,135.0,6000.0,16,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2,0,0,4.0,1,99.1,186.6,66.5,56.1,2758,4,121,3.54,3.07,9.3,110.0,5250.0,21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,0,4.0,1,105.8,192.7,71.4,55.7,2844,5,136,3.19,3.4,8.5,110.0,5500.0,19,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
-1,0,0,4.0,1,102.4,175.6,66.5,53.9,2414,4,122,3.31,3.54,8.7,92.0,4200.0,27,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,0,4.0,1,93.7,157.3,63.8,50.6,1989,4,90,2.97,3.23,9.4,68.0,5500.0,31,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,0,1,4.0,1,96.9,173.6,65.4,54.9,2650,4,108,3.62,2.64,7.7,111.0,4800.0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3,0,0,2.0,1,99.1,186.6,66.5,56.1,2707,4,121,2.54,2.07,9.3,110.0,5250.0,21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,0,4.0,1,93.1,166.8,64.2,54.1,1950,4,91,3.08,3.15,9.0,68.0,5000.0,31,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,0,4.0,1,105.8,192.7,71.4,55.7,2954,5,136,3.19,3.4,8.5,110.0,5500.0,19,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,4.0,1,120.9,208.1,71.7,56.7,3900,8,308,3.8,3.35,8.0,184.0,4500.0,14,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,4.0,1,100.4,183.1,66.9,55.1,2563,4,109,3.19,3.4,9.0,88.0,5500.0,25,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,0,0,2.0,1,98.4,176.2,65.6,52.0,2536,4,146,3.62,3.5,9.3,116.0,4800.0,24,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
