Cement,Blast_Furnace_Slag ,Fly_ash,Water,Superplasticizer,Coarse_Aggregate,Fine_Aggregate,Age_days
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,3
144.8,0.0,133.6,180.8,11.1,979.5,811.5,28
139.9,132.6,103.3,200.3,7.4,916.0,753.4,28
480.0,0.0,0.0,192.0,0.0,936.2,712.2,90
152.6,238.7,0.0,200.0,6.3,1001.8,683.9,28
480.0,0.0,0.0,192.0,0.0,936.2,712.2,3
155.0,0.0,143.0,193.0,9.0,877.0,868.0,28
277.1,0.0,97.4,160.6,11.8,973.9,875.6,100
202.0,11.0,141.0,206.0,1.7,942.0,801.0,56
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,7
355.0,19.0,97.0,145.0,13.1,967.0,871.0,28
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7
332.5,142.5,0.0,228.0,0.0,932.0,594.0,7
122.6,183.9,0.0,203.5,0.0,958.2,800.1,28
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,3
388.6,97.1,0.0,157.9,12.1,852.1,925.7,56
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,28
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,3
194.7,0.0,100.5,170.2,7.5,998.0,901.8,56
275.0,0.0,0.0,183.0,0.0,1088.0,808.0,7
290.4,0.0,96.2,168.1,9.4,961.2,865.0,14
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,3
310.0,0.0,0.0,192.0,0.0,970.0,850.0,360
469.0,117.2,0.0,137.8,32.2,852.1,840.5,7
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,7
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,56
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,28
520.0,0.0,0.0,175.0,5.2,870.0,805.0,28
236.0,0.0,0.0,194.0,0.0,968.0,885.0,28
153.0,102.0,0.0,192.0,0.0,888.0,943.1,3
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,56
427.5,47.5,0.0,228.0,0.0,932.0,594.0,7
277.0,0.0,0.0,191.0,0.0,968.0,856.0,14
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,28
135.0,105.0,193.0,196.0,6.0,965.0,643.0,28
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,14
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,14
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,28
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,14
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,28
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56
446.0,24.0,79.0,162.0,11.6,967.0,712.0,56
531.3,0.0,0.0,141.8,28.2,852.1,893.7,28
166.8,250.2,0.0,203.5,0.0,975.6,692.6,90
393.0,0.0,0.0,192.0,0.0,940.0,758.0,3
333.0,0.0,0.0,192.0,0.0,931.2,842.6,28
150.0,236.8,0.0,173.8,11.9,1069.3,674.8,28
255.3,98.8,77.0,188.6,6.5,919.0,749.3,28
236.0,0.0,0.0,194.0,0.0,968.0,885.0,3
158.0,0.0,195.0,220.0,11.0,898.0,713.0,28
387.0,20.0,94.0,157.0,13.9,938.0,845.0,3
192.0,288.0,0.0,192.0,0.0,929.8,716.1,7
334.0,17.6,158.0,189.0,15.3,967.0,633.0,28
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28
300.0,0.0,0.0,184.0,0.0,1075.0,795.0,28
331.0,0.0,0.0,192.0,0.0,978.0,825.0,180
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,28
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365
288.0,192.0,0.0,192.0,0.0,932.0,717.8,7
299.8,0.0,119.8,211.5,9.9,878.2,727.6,28
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,56
339.0,0.0,0.0,197.0,0.0,968.0,781.0,28
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,28
424.0,22.0,132.0,168.0,8.9,822.0,750.0,7
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,56
491.0,26.0,123.0,201.0,3.9,822.0,699.0,3
154.8,0.0,142.8,193.3,9.1,877.2,867.7,28
312.7,0.0,0.0,178.1,8.0,999.7,822.2,28
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,14
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,100
148.0,175.0,0.0,171.0,2.0,1000.0,828.0,28
295.7,0.0,95.6,171.5,8.9,955.1,859.2,56
266.0,114.0,0.0,228.0,0.0,932.0,670.0,270
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,180
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,90
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3
388.6,97.1,0.0,157.9,12.1,852.1,925.7,7
522.0,0.0,0.0,146.0,0.0,896.0,896.0,7
254.0,0.0,0.0,198.0,0.0,968.0,863.0,180
194.7,0.0,100.5,170.2,7.5,998.0,901.8,14
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,3
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,100
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,7
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56
193.5,290.2,0.0,185.7,0.0,998.2,704.3,28
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,100
296.0,0.0,0.0,186.0,0.0,1090.0,769.0,28
222.4,0.0,96.7,189.3,4.5,967.1,870.3,100
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,56
159.0,149.0,116.0,175.0,15.0,953.0,720.0,28
228.0,342.1,0.0,185.7,0.0,955.8,674.3,7
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,3
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,28
252.3,0.0,98.8,146.3,14.2,987.8,889.0,100
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,28
289.0,0.0,0.0,192.0,0.0,913.2,895.3,90
380.0,95.0,0.0,228.0,0.0,932.0,594.0,180
318.8,212.5,0.0,155.7,14.3,852.1,880.4,7
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,100
184.0,86.0,190.0,213.0,6.0,923.0,623.0,28
528.0,0.0,0.0,185.0,6.9,920.0,720.0,28
374.0,189.2,0.0,170.1,10.1,926.1,756.7,56
287.0,121.0,94.0,188.0,9.0,904.0,696.0,28
436.0,0.0,0.0,218.0,0.0,838.4,719.7,28
425.0,106.3,0.0,151.4,18.6,936.0,803.7,28
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,7
255.0,0.0,0.0,192.0,0.0,889.8,945.0,28
355.9,0.0,141.6,193.3,11.0,801.4,778.4,28
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,3
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,180
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,14
295.7,0.0,95.6,171.5,8.9,955.1,859.2,14
238.1,0.0,94.1,186.7,7.0,949.9,847.0,3
153.0,145.0,113.0,178.0,8.0,1002.0,689.0,28
446.0,24.0,79.0,162.0,11.6,967.0,712.0,7
133.0,200.0,0.0,192.0,0.0,927.4,839.2,28
159.1,186.7,0.0,175.6,11.3,989.6,788.9,28
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,56
250.0,0.0,95.7,191.8,5.3,948.9,857.2,3
393.0,0.0,0.0,192.0,0.0,940.6,785.6,90
322.2,0.0,115.6,196.0,10.4,817.9,813.4,28
203.5,135.7,0.0,185.7,0.0,1076.2,759.3,28
439.0,177.0,0.0,186.0,11.1,884.9,707.9,3
181.9,272.8,0.0,185.7,0.0,1012.4,714.3,7
307.0,0.0,0.0,193.0,0.0,968.0,812.0,28
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,28
350.0,0.0,0.0,203.0,0.0,974.0,775.0,56
374.0,0.0,0.0,190.0,7.0,1013.0,730.0,28
116.0,173.0,0.0,192.0,0.0,909.8,891.9,28
284.0,15.0,141.0,179.0,5.5,842.0,801.0,28
141.3,212.0,0.0,203.5,0.0,971.8,748.5,3
135.7,203.5,0.0,185.7,0.0,1076.2,759.3,7
446.0,24.0,79.0,162.0,10.3,967.0,712.0,28
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,28
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,120
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,14
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,56
154.0,174.0,185.0,228.0,7.0,845.0,612.0,28
302.0,0.0,0.0,203.0,0.0,974.0,817.0,14
331.0,170.0,0.0,195.0,8.0,811.0,802.0,28
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3
249.1,0.0,98.8,158.1,12.8,987.8,889.0,56
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,14
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28
424.0,22.0,132.0,178.0,8.5,882.0,750.0,3
393.0,0.0,0.0,192.0,0.0,940.0,758.0,28
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28
160.0,128.0,122.0,182.0,6.4,824.0,879.0,28
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,28
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,28
145.0,116.0,119.0,184.0,5.7,833.0,880.0,28
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,7
337.9,189.0,0.0,174.9,9.5,944.7,755.8,7
183.9,122.6,0.0,203.5,0.0,959.2,800.0,3
252.5,0.0,0.0,185.7,0.0,1111.6,784.3,28
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,3
350.0,0.0,0.0,203.0,0.0,974.0,775.0,180
181.9,272.8,0.0,185.7,0.0,1012.4,714.3,28
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,3
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,28
238.1,0.0,94.1,186.7,7.0,949.9,847.0,28
296.0,0.0,106.7,221.4,10.5,819.2,778.4,28
153.1,145.0,113.0,178.5,8.0,1001.9,688.7,28
250.0,0.0,95.7,187.4,5.5,956.9,861.2,14
385.0,0.0,0.0,186.0,0.0,966.0,763.0,28
531.3,0.0,0.0,141.8,28.2,852.1,893.7,91
290.4,0.0,96.2,168.1,9.4,961.2,865.0,100
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,3
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,3
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,3
143.6,0.0,174.9,158.4,17.9,942.7,844.5,28
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,28
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,14
300.0,0.0,120.0,212.0,10.0,878.0,728.0,28
359.0,19.0,141.0,154.0,10.9,942.0,801.0,3
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28
155.6,243.5,0.0,180.3,10.7,1022.0,697.7,28
387.0,20.0,94.0,157.0,13.9,938.0,845.0,7
250.0,0.0,0.0,182.0,0.0,1100.0,820.0,28
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7
272.8,181.9,0.0,185.7,0.0,1012.4,714.3,28
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28
190.0,190.0,0.0,228.0,0.0,932.0,670.0,270
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,28
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,28
212.0,141.3,0.0,203.5,0.0,973.4,750.0,3
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28
210.7,316.1,0.0,185.7,0.0,977.0,689.3,7
318.8,212.5,0.0,155.7,14.3,852.1,880.4,91
102.0,153.0,0.0,192.0,0.0,887.0,942.0,90
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,14
164.0,163.0,128.0,197.0,8.0,961.0,641.0,28
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,28
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,7
337.9,189.0,0.0,174.9,9.5,944.7,755.8,28
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,28
149.0,153.0,194.0,192.0,8.0,935.0,623.0,28
150.7,0.0,185.3,166.7,15.6,1074.5,678.0,28
116.0,173.0,0.0,192.0,0.0,909.8,891.9,7
249.1,0.0,98.8,158.1,12.8,987.8,889.0,100
304.8,0.0,99.6,196.0,9.8,959.4,705.2,28
277.0,0.0,0.0,191.0,0.0,968.0,856.0,90
337.9,189.0,0.0,174.9,9.5,944.7,755.8,56
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91
397.0,0.0,0.0,186.0,0.0,1040.0,734.0,28
339.0,0.0,0.0,197.0,0.0,968.0,781.0,90
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28
154.0,144.0,112.0,220.0,10.0,923.0,658.0,28
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,28
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270
393.0,0.0,0.0,192.0,0.0,940.6,785.6,28
339.0,0.0,0.0,185.0,0.0,1060.0,754.0,28
155.0,0.0,143.0,193.0,9.0,1047.0,697.0,28
339.0,0.0,0.0,197.0,0.0,968.0,781.0,7
202.0,11.0,141.0,206.0,1.7,942.0,801.0,28
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365
401.8,94.7,0.0,147.4,11.4,946.8,852.1,91
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,14
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,180
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,3
331.0,0.0,0.0,192.0,0.0,978.0,825.0,90
385.0,0.0,136.0,158.0,20.0,903.0,768.0,28
326.0,166.0,0.0,174.0,9.0,882.0,790.0,28
202.0,11.0,141.0,206.0,1.7,942.0,801.0,7
387.0,20.0,94.0,157.0,11.6,938.0,845.0,56
307.0,0.0,0.0,193.0,0.0,968.0,812.0,90
252.0,0.0,0.0,186.0,0.0,1111.0,784.0,7
298.1,0.0,107.0,186.4,6.1,879.0,815.2,28
155.0,184.0,143.0,194.0,9.0,880.0,699.0,28
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,56
144.0,170.0,133.0,192.0,8.0,814.0,805.0,28
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14
446.0,24.0,79.0,162.0,11.6,967.0,712.0,3
153.0,102.0,0.0,192.0,0.0,888.0,943.1,7
250.0,0.0,95.7,191.8,5.3,948.9,857.2,14
333.0,0.0,0.0,192.0,0.0,931.2,842.6,90
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,360
200.0,133.0,0.0,192.0,0.0,965.4,806.2,90
313.3,145.0,0.0,178.5,8.0,1001.9,688.7,28
284.0,15.0,141.0,179.0,5.5,842.0,801.0,7
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3
203.5,305.3,0.0,203.5,0.0,963.4,630.0,3
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,3
250.0,0.0,95.7,191.8,5.3,948.9,857.2,100
322.0,0.0,0.0,203.0,0.0,974.0,800.0,180
148.0,0.0,182.0,181.0,15.0,839.0,884.0,28
375.0,93.8,0.0,126.6,23.4,852.1,992.6,56
200.0,133.0,0.0,192.0,0.0,965.4,806.2,3
149.0,118.0,92.0,183.0,7.0,953.0,780.0,28
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3
333.0,17.5,163.0,167.0,17.9,996.0,652.0,28
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,91
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,28
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,7
331.0,0.0,0.0,192.0,0.0,978.0,825.0,360
381.4,0.0,0.0,185.7,0.0,1104.6,784.3,7
333.0,0.0,0.0,192.0,0.0,931.2,842.6,3
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,7
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28
387.0,20.0,94.0,157.0,13.9,938.0,845.0,56
321.4,0.0,127.9,182.5,11.5,870.1,779.7,28
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91
439.0,177.0,0.0,186.0,11.1,884.9,707.9,28
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,28
156.0,178.0,187.0,221.0,7.0,854.0,614.0,28
275.0,180.0,120.0,162.0,10.4,830.0,765.0,28
160.0,188.0,146.0,203.0,11.0,829.0,710.0,28
480.0,0.0,0.0,192.0,0.0,936.2,712.2,28
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,7
166.0,260.0,0.0,183.0,13.0,859.0,827.0,28
359.0,19.0,141.0,154.0,10.9,942.0,801.0,28
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,100
250.2,166.8,0.0,203.5,0.0,977.6,694.1,28
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,100
108.3,162.4,0.0,203.5,0.0,938.2,849.0,28
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,14
375.0,93.8,0.0,126.6,23.4,852.1,992.6,3
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365
254.0,0.0,0.0,198.0,0.0,968.0,863.0,365
135.0,0.0,166.0,180.0,10.0,961.0,805.0,28
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28
297.8,137.2,106.9,201.3,6.0,878.4,655.3,28
321.0,164.0,0.0,190.0,5.0,870.0,774.0,28
134.7,0.0,165.7,180.2,10.0,961.0,804.9,28
295.7,0.0,95.6,171.5,8.9,955.1,859.2,3
314.0,145.3,113.2,178.9,8.0,869.1,690.2,28
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3
202.0,11.0,141.0,206.0,1.7,942.0,801.0,3
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3
147.0,115.0,89.0,202.0,9.0,860.0,829.0,28
288.0,192.0,0.0,192.0,0.0,932.0,717.8,3
133.0,200.0,0.0,192.0,0.0,927.4,839.2,7
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,3
300.0,0.0,0.0,184.0,0.0,1075.0,795.0,7
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,100
159.8,250.0,0.0,168.4,12.2,1049.3,688.2,28
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,100
424.0,22.0,132.0,178.0,8.5,822.0,750.0,28
192.0,288.0,0.0,192.0,0.0,929.8,716.1,3
102.0,153.0,0.0,192.0,0.0,887.0,942.0,3
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,56
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7
254.0,0.0,0.0,198.0,0.0,968.0,863.0,3
146.0,230.0,0.0,202.0,3.0,827.0,872.0,28
310.0,143.0,0.0,168.0,10.0,914.0,804.0,28
405.0,0.0,0.0,175.0,0.0,1120.0,695.0,28
314.0,145.0,113.0,179.0,8.0,869.0,690.0,28
145.7,172.6,0.0,181.9,3.4,985.8,816.8,28
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,3
265.0,111.0,86.0,195.0,6.0,833.0,790.0,28
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,100
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,28
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,28
401.8,94.7,0.0,147.4,11.4,946.8,852.1,3
151.0,0.0,184.0,167.0,12.0,991.0,772.0,28
234.0,156.0,0.0,189.0,5.9,981.0,760.0,28
143.0,169.4,142.7,190.7,8.4,967.4,643.5,28
393.0,0.0,0.0,192.0,0.0,940.0,758.0,90
220.8,147.2,0.0,185.7,0.0,1055.0,744.3,7
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,28
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,270
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,28
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,3
289.0,0.0,0.0,192.0,0.0,913.2,895.3,28
250.2,166.8,0.0,203.5,0.0,977.6,694.1,7
220.8,147.2,0.0,185.7,0.0,1055.0,744.3,28
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,56
374.0,189.2,0.0,170.1,10.1,926.1,756.7,3
159.0,187.0,0.0,176.0,11.0,990.0,789.0,28
313.0,145.0,0.0,127.0,8.0,1000.0,822.0,28
133.0,200.0,0.0,192.0,0.0,927.4,839.2,3
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,100
166.8,250.2,0.0,203.5,0.0,975.6,692.6,28
284.0,120.0,0.0,168.0,7.0,970.0,794.0,28
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,28
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,90
307.0,0.0,0.0,193.0,0.0,968.0,812.0,365
356.0,119.0,0.0,160.0,9.0,1061.0,657.0,28
375.0,93.8,0.0,126.6,23.4,852.1,992.6,7
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,100
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,56
250.2,166.8,0.0,203.5,0.0,977.6,694.1,3
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360
480.0,0.0,0.0,192.0,0.0,936.0,721.0,3
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,28
298.0,137.0,107.0,201.0,6.0,878.0,655.0,28
166.8,250.2,0.0,203.5,0.0,975.6,692.6,7
313.0,161.0,0.0,178.0,10.0,917.0,759.0,28
166.8,250.2,0.0,203.5,0.0,975.6,692.6,3
144.0,136.0,106.0,178.0,7.0,941.0,774.0,28
145.0,0.0,179.0,202.0,8.0,824.0,869.0,28
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,14
316.1,210.7,0.0,185.7,0.0,977.0,689.3,7
333.0,0.0,0.0,192.0,0.0,931.2,842.6,7
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,28
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56
160.2,188.0,146.4,203.2,11.3,828.7,709.7,28
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180
102.0,153.0,0.0,192.0,0.0,887.0,942.0,28
193.5,290.2,0.0,185.7,0.0,998.2,704.3,7
145.4,0.0,178.9,201.7,7.8,824.0,868.7,28
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,3
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28
298.0,0.0,107.0,186.0,6.0,879.0,815.0,28
280.0,129.0,100.0,172.0,9.0,825.0,805.0,28
238.0,0.0,0.0,185.0,0.0,1118.0,789.0,28
250.0,0.0,95.7,187.4,5.5,956.9,861.2,28
238.1,0.0,94.1,186.7,7.0,949.9,847.0,56
212.0,141.3,0.0,203.5,0.0,973.4,750.0,7
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,3
389.9,189.0,0.0,145.9,22.0,944.7,755.8,28
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,120
288.0,192.0,0.0,192.0,0.0,932.0,717.8,28
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,14
339.0,0.0,0.0,197.0,0.0,968.0,781.0,365
200.0,0.0,0.0,180.0,0.0,1125.0,845.0,7
148.0,0.0,137.0,158.0,16.0,1002.0,830.0,28
284.0,15.0,141.0,179.0,5.5,842.0,801.0,56
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,3
375.0,93.8,0.0,126.6,23.4,852.1,992.6,28
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,7
