Cemment,Slag,Fly_ash,Water,SP,Coarse_Aggr,Fine_Aggr,SLUMP_cm,FLOW_cm
215.6,112.9,239.0,198.7,7.4,884.0,649.1,27.5,64.0
298.0,107.0,137.0,201.0,6.0,878.0,655.0,16.0,26.0
291.0,105.0,0.0,205.0,6.0,859.0,797.0,24.0,59.0
159.0,193.0,0.0,208.0,12.0,821.0,818.0,23.0,50.0
332.0,0.0,170.0,160.0,6.0,900.0,806.0,0.0,20.0
141.1,0.6,209.5,188.8,4.6,996.1,789.2,23.5,53.0
322.0,116.0,0.0,196.0,10.0,818.0,813.0,25.5,67.0
374.0,0.0,0.0,190.0,7.0,1013.0,730.0,14.5,42.5
143.3,91.8,239.8,200.8,6.2,964.8,647.1,25.0,55.0
160.0,146.0,188.0,203.0,11.0,829.0,710.0,13.0,38.0
142.0,130.0,167.0,174.0,11.0,883.0,785.0,0.0,20.0
145.0,106.0,136.0,208.0,10.0,751.0,883.0,24.5,61.0
248.3,101.0,239.1,168.9,7.7,954.2,640.6,0.0,20.0
160.2,0.3,240.0,233.5,9.2,781.0,841.1,24.0,75.0
140.0,1.4,198.1,174.9,4.4,1049.9,780.5,16.25,31.0
307.0,110.0,0.0,189.0,10.0,904.0,765.0,22.0,40.0
309.0,0.0,142.0,218.0,10.0,912.0,680.0,24.0,62.0
304.0,0.0,140.0,214.0,6.0,895.0,722.0,19.0,51.0
142.0,130.0,167.0,215.0,6.0,735.0,836.0,25.5,67.0
310.0,0.0,143.0,218.0,10.0,787.0,804.0,13.0,46.0
252.0,76.0,97.0,194.0,8.0,835.0,821.0,23.0,54.0
165.0,150.0,0.0,182.0,12.0,1023.0,729.0,14.5,20.0
156.0,0.0,243.0,180.0,11.0,1022.0,698.0,21.0,57.0
298.0,107.0,0.0,186.0,6.0,879.0,815.0,3.0,20.0
280.0,92.0,118.0,207.0,9.0,883.0,679.0,25.5,64.0
287.0,94.0,121.0,188.0,9.0,904.0,696.0,25.0,61.0
143.0,131.0,168.0,217.0,6.0,891.0,672.0,25.0,69.0
265.0,86.0,111.0,195.0,6.0,833.0,790.0,27.0,60.0
159.0,0.0,248.0,175.0,12.0,1041.0,683.0,21.0,51.0
166.0,0.0,260.0,183.0,13.0,859.0,827.0,21.0,54.0
276.0,90.0,116.0,180.0,9.0,870.0,768.0,0.0,20.0
140.1,11.8,226.1,207.8,4.9,1020.9,683.8,21.0,64.0
140.2,30.5,239.0,169.4,5.3,1028.4,742.7,21.25,46.0
194.3,0.3,240.0,234.2,8.9,780.6,811.3,26.5,78.0
150.4,110.9,239.7,168.1,6.5,1000.2,667.2,9.5,27.5
165.3,143.2,238.3,200.4,7.1,883.2,652.6,17.0,27.0
248.0,101.0,239.9,169.1,7.7,949.9,644.1,2.0,20.0
